G,variable,value
42.0,FG,0.475
41.0,FG,0.375
40.0,FG,0.425
39.0,FG,0.275
38.0,FG,0.5
37.0,FG,0.3
36.0,FG,0.375
35.0,FG,0.425
34.0,FG,0.475
33.0,FG,0.325
32.0,FG,0.35
31.0,FG,0.575
30.0,FG,0.4
29.0,FG,0.55
28.0,FG,0.25
27.0,FG,0.575
26.0,FG,0.275
25.0,FG,0.275
24.0,FG,0.65
23.0,FG,0.55
22.0,FG,0.4
21.0,FG,0.375
20.0,FG,0.4
19.0,FG,0.625
18.0,FG,0.35
17.0,FG,0.6
16.0,FG,0.375
15.0,FG,0.475
14.0,FG,0.35
13.0,FG,0.375
12.0,FG,0.375
11.0,FG,0.4
10.0,FG,0.475
9.0,FG,0.575
8.0,FG,0.65
7.0,FG,0.375
6.0,FG,0.5
5.0,FG,0.425
4.0,FG,0.45
3.0,FG,0.575
2.0,FG,0.375
1.0,FG,0.675
82.0,FG,0.425
81.0,FG,0.45
80.0,FG,0.5
79.0,FG,0.475
78.0,FG,0.375
77.0,FG,0.5
76.0,FG,0.4
75.0,FG,0.25
74.0,FG,0.225
73.0,FG,0.45
72.0,FG,0.45
71.0,FG,0.25
70.0,FG,0.325
69.0,FG,0.425
68.0,FG,0.3
67.0,FG,0.575
66.0,FG,0.175
65.0,FG,0.3
64.0,FG,0.25
63.0,FG,0.625
62.0,FG,0.225
61.0,FG,0.2
60.0,FG,0.4
59.0,FG,0.525
58.0,FG,0.375
57.0,FG,0.3
56.0,FG,0.4
55.0,FG,0.3
54.0,FG,0.375
53.0,FG,0.5
52.0,FG,0.275
51.0,FG,0.45
50.0,FG,0.475
49.0,FG,0.475
48.0,FG,0.25
47.0,FG,0.25
46.0,FG,0.15
45.0,FG,0.25
44.0,FG,0.475
43.0,FG,0.275
42.0,FG,0.275
41.0,FG,0.55
40.0,FG,0.175
39.0,FG,0.4
38.0,FG,0.55
37.0,FG,0.4
36.0,FG,0.425
35.0,FG,0.325
34.0,FG,0.325
33.0,FG,0.225
32.0,FG,0.25
31.0,FG,0.325
30.0,FG,0.4
29.0,FG,0.25
28.0,FG,0.5
27.0,FG,0.45
26.0,FG,0.4
25.0,FG,0.275
24.0,FG,0.275
23.0,FG,0.325
22.0,FG,0.425
21.0,FG,0.525
20.0,FG,0.4
19.0,FG,0.325
18.0,FG,0.4
17.0,FG,0.4
16.0,FG,0.325
15.0,FG,0.275
14.0,FG,0.325
13.0,FG,0.425
12.0,FG,0.25
11.0,FG,0.3
10.0,FG,0.375
9.0,FG,0.175
8.0,FG,0.725
7.0,FG,0.6
6.0,FG,0.3
5.0,FG,0.45
4.0,FG,0.275
3.0,FG,0.225
2.0,FG,0.3
1.0,FG,0.25
81.0,FG,0.375
80.0,FG,0.65
79.0,FG,0.475
78.0,FG,0.375
77.0,FG,0.525
76.0,FG,0.35
75.0,FG,0.35
74.0,FG,0.5
73.0,FG,0.25
72.0,FG,0.575
71.0,FG,0.3
70.0,FG,0.225
69.0,FG,0.4
68.0,FG,0.25
67.0,FG,0.275
66.0,FG,0.425
65.0,FG,0.475
64.0,FG,0.425
63.0,FG,0.125
62.0,FG,0.175
61.0,FG,0.45
60.0,FG,0.3
59.0,FG,0.5
58.0,FG,0.35
57.0,FG,0.475
56.0,FG,0.35
55.0,FG,0.55
54.0,FG,0.425
53.0,FG,0.325
52.0,FG,0.15
51.0,FG,0.25
50.0,FG,0.525
49.0,FG,0.6
48.0,FG,0.325
47.0,FG,0.35
46.0,FG,0.5
45.0,FG,0.425
44.0,FG,0.35
43.0,FG,0.5
42.0,FG,0.225
41.0,FG,0.25
40.0,FG,0.275
39.0,FG,0.4
38.0,FG,0.3
37.0,FG,0.425
36.0,FG,0.475
35.0,FG,0.375
34.0,FG,0.425
33.0,FG,0.425
32.0,FG,0.45
31.0,FG,0.25
30.0,FG,0.35
29.0,FG,0.225
28.0,FG,0.175
27.0,FG,0.4
26.0,FG,0.35
25.0,FG,0.375
24.0,FG,0.325
23.0,FG,0.4
22.0,FG,0.3
21.0,FG,0.525
20.0,FG,0.45
19.0,FG,0.325
18.0,FG,0.475
17.0,FG,0.3
16.0,FG,0.35
15.0,FG,0.25
14.0,FG,0.625
13.0,FG,0.425
12.0,FG,0.475
11.0,FG,0.25
10.0,FG,0.525
9.0,FG,0.325
8.0,FG,0.35
7.0,FG,0.475
6.0,FG,0.25
5.0,FG,0.375
4.0,FG,0.3
3.0,FG,0.35
2.0,FG,0.275
1.0,FG,0.425
66.0,FG,0.325
65.0,FG,0.25
64.0,FG,0.425
63.0,FG,0.4
62.0,FG,0.35
61.0,FG,0.425
60.0,FG,0.375
59.0,FG,0.2
58.0,FG,0.375
57.0,FG,0.525
56.0,FG,0.45
55.0,FG,0.25
54.0,FG,0.275
53.0,FG,0.4
52.0,FG,0.275
51.0,FG,0.55
50.0,FG,0.35
49.0,FG,0.275
48.0,FG,0.3
47.0,FG,0.35
46.0,FG,0.525
45.0,FG,0.175
44.0,FG,0.35
43.0,FG,0.35
42.0,FG,0.45
41.0,FG,0.275
40.0,FG,0.425
39.0,FG,0.5
38.0,FG,0.15
37.0,FG,0.325
36.0,FG,0.575
35.0,FG,0.575
34.0,FG,0.45
33.0,FG,0.275
32.0,FG,0.3
31.0,FG,0.175
30.0,FG,0.25
29.0,FG,0.225
28.0,FG,0.3
27.0,FG,0.375
26.0,FG,0.175
25.0,FG,0.4
24.0,FG,0.475
23.0,FG,0.35
22.0,FG,0.225
21.0,FG,0.425
20.0,FG,0.375
19.0,FG,0.35
18.0,FG,0.4
17.0,FG,0.3
16.0,FG,0.275
15.0,FG,0.375
14.0,FG,0.2
13.0,FG,0.3
12.0,FG,0.3
11.0,FG,0.25
10.0,FG,0.225
9.0,FG,0.175
8.0,FG,0.1
7.0,FG,0.325
6.0,FG,0.4
5.0,FG,0.375
4.0,FG,0.325
3.0,FG,0.175
2.0,FG,0.375
1.0,FG,0.425
82.0,FG,0.65
81.0,FG,0.25
80.0,FG,0.175
79.0,FG,0.35
78.0,FG,0.15
77.0,FG,0.45
76.0,FG,0.475
75.0,FG,0.275
74.0,FG,0.6
73.0,FG,0.3
72.0,FG,0.2
71.0,FG,0.175
70.0,FG,0.175
69.0,FG,0.375
68.0,FG,0.325
67.0,FG,0.2
66.0,FG,0.2
65.0,FG,0.325
64.0,FG,0.275
63.0,FG,0.275
62.0,FG,0.375
61.0,FG,0.325
60.0,FG,0.425
59.0,FG,0.55
58.0,FG,0.425
57.0,FG,0.2
56.0,FG,0.2
55.0,FG,0.7
54.0,FG,0.225
53.0,FG,0.2
52.0,FG,0.275
51.0,FG,0.225
50.0,FG,0.2
49.0,FG,0.45
48.0,FG,0.4
47.0,FG,0.55
46.0,FG,0.125
