G,variable,value
47.0,FG,34.0
46.0,FG,42.0
45.0,FG,42.0
44.0,FG,33.0
43.0,FG,40.0
42.0,FG,35.0
41.0,FG,29.0
40.0,FG,44.0
39.0,FG,41.0
38.0,FG,43.0
37.0,FG,34.0
36.0,FG,31.0
35.0,FG,26.0
34.0,FG,34.0
33.0,FG,30.0
32.0,FG,31.0
31.0,FG,36.0
30.0,FG,41.0
29.0,FG,37.0
28.0,FG,37.0
27.0,FG,34.0
26.0,FG,31.0
25.0,FG,38.0
24.0,FG,31.0
23.0,FG,34.0
22.0,FG,37.0
21.0,FG,35.0
20.0,FG,27.0
19.0,FG,33.0
18.0,FG,39.0
17.0,FG,40.0
16.0,FG,27.0
15.0,FG,29.0
14.0,FG,37.0
13.0,FG,37.0
12.0,FG,34.0
11.0,FG,39.0
10.0,FG,38.0
9.0,FG,40.0
8.0,FG,35.0
7.0,FG,33.0
6.0,FG,31.0
5.0,FG,36.0
4.0,FG,41.0
3.0,FG,49.0
2.0,FG,34.0
1.0,FG,39.0
82.0,FG,34.0
81.0,FG,31.0
80.0,FG,35.0
79.0,FG,41.0
78.0,FG,34.0
77.0,FG,36.0
76.0,FG,39.0
75.0,FG,34.0
74.0,FG,34.0
73.0,FG,37.0
72.0,FG,30.0
71.0,FG,40.0
70.0,FG,34.0
69.0,FG,28.0
68.0,FG,30.0
67.0,FG,36.0
66.0,FG,34.0
65.0,FG,36.0
64.0,FG,41.0
63.0,FG,35.0
62.0,FG,29.0
61.0,FG,45.0
60.0,FG,28.0
59.0,FG,40.0
58.0,FG,35.0
57.0,FG,34.0
56.0,FG,27.0
55.0,FG,31.0
54.0,FG,32.0
53.0,FG,38.0
52.0,FG,37.0
51.0,FG,45.0
50.0,FG,35.0
49.0,FG,27.0
48.0,FG,31.0
47.0,FG,42.0
46.0,FG,35.0
45.0,FG,36.0
44.0,FG,37.0
43.0,FG,32.0
42.0,FG,37.0
41.0,FG,25.0
40.0,FG,36.0
39.0,FG,41.0
38.0,FG,37.0
37.0,FG,34.0
36.0,FG,29.0
35.0,FG,31.0
34.0,FG,29.0
33.0,FG,23.0
32.0,FG,46.0
31.0,FG,40.0
30.0,FG,32.0
29.0,FG,37.0
28.0,FG,36.0
27.0,FG,23.0
26.0,FG,42.0
25.0,FG,29.0
24.0,FG,34.0
23.0,FG,37.0
22.0,FG,42.0
21.0,FG,37.0
20.0,FG,37.0
19.0,FG,31.0
18.0,FG,42.0
17.0,FG,33.0
16.0,FG,29.0
15.0,FG,36.0
14.0,FG,36.0
13.0,FG,39.0
12.0,FG,29.0
11.0,FG,32.0
10.0,FG,33.0
9.0,FG,39.0
8.0,FG,45.0
7.0,FG,31.0
6.0,FG,34.0
5.0,FG,40.0
4.0,FG,39.0
3.0,FG,37.0
2.0,FG,34.0
1.0,FG,30.0
82.0,FG,27.0
81.0,FG,37.0
80.0,FG,36.0
79.0,FG,26.0
78.0,FG,45.0
77.0,FG,31.0
76.0,FG,39.0
75.0,FG,34.0
74.0,FG,36.0
73.0,FG,35.0
72.0,FG,44.0
71.0,FG,34.0
70.0,FG,29.0
69.0,FG,35.0
68.0,FG,34.0
67.0,FG,39.0
66.0,FG,26.0
65.0,FG,41.0
64.0,FG,28.0
63.0,FG,42.0
62.0,FG,29.0
61.0,FG,36.0
60.0,FG,39.0
59.0,FG,41.0
58.0,FG,39.0
57.0,FG,33.0
56.0,FG,40.0
55.0,FG,38.0
54.0,FG,37.0
53.0,FG,36.0
52.0,FG,40.0
51.0,FG,33.0
50.0,FG,39.0
49.0,FG,30.0
48.0,FG,34.0
47.0,FG,34.0
46.0,FG,35.0
45.0,FG,30.0
44.0,FG,31.0
43.0,FG,32.0
42.0,FG,36.0
41.0,FG,33.0
40.0,FG,31.0
39.0,FG,36.0
38.0,FG,40.0
37.0,FG,34.0
36.0,FG,44.0
35.0,FG,38.0
34.0,FG,36.0
33.0,FG,38.0
32.0,FG,38.0
31.0,FG,40.0
30.0,FG,40.0
29.0,FG,47.0
28.0,FG,45.0
27.0,FG,41.0
26.0,FG,41.0
25.0,FG,32.0
24.0,FG,40.0
23.0,FG,33.0
22.0,FG,35.0
21.0,FG,32.0
20.0,FG,40.0
19.0,FG,34.0
18.0,FG,34.0
17.0,FG,23.0
16.0,FG,36.0
15.0,FG,32.0
14.0,FG,39.0
13.0,FG,33.0
12.0,FG,36.0
11.0,FG,40.0
10.0,FG,35.0
9.0,FG,36.0
8.0,FG,40.0
7.0,FG,43.0
6.0,FG,39.0
5.0,FG,35.0
4.0,FG,36.0
3.0,FG,39.0
2.0,FG,30.0
1.0,FG,37.0
82.0,FG,35.0
81.0,FG,33.0
80.0,FG,36.0
79.0,FG,38.0
78.0,FG,42.0
77.0,FG,31.0
76.0,FG,33.0
75.0,FG,38.0
74.0,FG,40.0
73.0,FG,31.0
72.0,FG,45.0
71.0,FG,38.0
70.0,FG,41.0
69.0,FG,31.0
68.0,FG,31.0
67.0,FG,38.0
66.0,FG,37.0
65.0,FG,42.0
64.0,FG,47.0
63.0,FG,42.0
62.0,FG,43.0
61.0,FG,36.0
60.0,FG,43.0
59.0,FG,39.0
58.0,FG,39.0
57.0,FG,42.0
56.0,FG,37.0
55.0,FG,30.0
54.0,FG,34.0
53.0,FG,29.0
52.0,FG,38.0
51.0,FG,41.0
50.0,FG,36.0
49.0,FG,38.0
48.0,FG,37.0
47.0,FG,41.0
46.0,FG,39.0
45.0,FG,38.0
44.0,FG,30.0
43.0,FG,48.0
42.0,FG,34.0
41.0,FG,33.0
40.0,FG,42.0
39.0,FG,32.0
38.0,FG,33.0
37.0,FG,39.0
36.0,FG,34.0
35.0,FG,45.0
34.0,FG,36.0
33.0,FG,39.0
32.0,FG,35.0
31.0,FG,36.0
30.0,FG,34.0
29.0,FG,37.0
28.0,FG,37.0
27.0,FG,36.0
26.0,FG,36.0
25.0,FG,42.0
24.0,FG,39.0
23.0,FG,35.0
22.0,FG,38.0
21.0,FG,35.0
20.0,FG,50.0
19.0,FG,39.0
18.0,FG,34.0
17.0,FG,38.0
16.0,FG,38.0
15.0,FG,33.0
14.0,FG,32.0
13.0,FG,45.0
12.0,FG,33.0
11.0,FG,33.0
10.0,FG,36.0
9.0,FG,35.0
