Full Date,Month,Year,Word Count,Sentiment
September 1883,September,1883,2846,0.12237215157527656
January 1889,January,1889,1284,0.09947022306397306
May 1889,May,1889,1968,0.10453626730412445
January 1878,January,1878,999,0.20412644082824805
June 1889,June,1889,1482,0.08236890540015541
January 1889,January,1889,260,0.25857843137254904
November 1875,November,1875,254,0.22577601410934744
June 1888,June,1888,1266,0.09125537328168912
November 1885,November,1885,2026,0.13025091681142642
June 1883,June,1883,2614,0.13053072537218877
August 1877,August,1877,1622,0.21599168658870158
February 1885,February,1885,791,0.1731610275689223
July 1890,July,1890,118,-0.1031666666666667
June 1883,June,1883,821,0.10836141336141332
May 1882,May,1882,1404,0.11434650740206297
June 1884,June,1884,931,0.08264259549973837
December 1883,December,1883,1242,0.04532627865961197
March 1888,March,1888,919,0.13360180754917597
July 1888,July,1888,1945,0.11361644308072871
October 1888,October,1888,737,0.057009329405162755
November 1881,November,1881,4728,0.11516707145228278
April 1889,April,1889,1070,0.1657675520638483
October 1883,October,1883,1060,0.0728314659197012
August 1884,August,1884,622,0.1739235055724418
February 1883,February,1883,1214,0.12195985025903056
April 1882,April,1882,1285,0.1748537126715092
August 1882,August,1882,994,0.14599461144915693
January 1884,January,1884,1049,0.12056760204081639
December 1877,December,1877,1962,0.2626852727846105
March 1875,March,1875,213,-0.08814102564102562
October 1875,October,1875,710,0.1893772067176322
February 1884,February,1884,78,0.03981481481481482
August 1883,August,1883,780,0.0718571230899998
January 1886,January,1886,2914,0.15054758725735745
March 1888,March,1888,1050,0.1119009344314222
December 1875,December,1875,254,0.25491854636591477
January 1889,January,1889,879,0.15790182670864492
January 1890,January,1890,994,0.12128503075871497
February 1883,February,1883,1523,0.13116634027348312
March 1888,March,1888,727,0.16315893308080812
April 1875,April,1875,253,0.015773809523809523
August 1877,August,1877,1688,0.08963792858159052
January 1886,January,1886,803,0.10492837465564739
May 1877,May,1877,1049,0.1984605837284409
July 1889,July,1889,1225,0.10078318546140326
November 1889,November,1889,1253,0.17089285714285712
July 1882,July,1882,2226,0.13412851273020762
October 1876,October,1876,2635,0.11866366290589091
December 1888,December,1888,992,0.19854700854700855
June 1890,June,1890,916,0.15970884806250651
November 1881,November,1881,3254,0.1682832561352188
November 1882,November,1882,2540,0.18117492197724755
December 1876,December,1876,618,0.2634750280583613
September 1888,September,1888,2618,0.1953506493506494
May 1888,May,1888,739,0.1364310009718173
August 1889,August,1889,619,0.16963280766852193
December 1882,December,1882,2406,0.11143521251475799
April 1889,April,1889,1323,0.0845749101527404
October 1885,October,1885,1951,0.1332045596016184
July 1888,July,1888,1585,0.09399063176406926
December 1883,December,1883,1503,0.042149604781183736
October 1885,October,1885,2008,0.10762808526551979
March 1889,March,1889,1048,0.10495603354978354
June 1882,June,1882,1277,0.1131866079765239
October 1884,October,1884,1837,0.17981140772807438
October 1884,October,1884,1934,0.0961138861138861
October 1882,October,1882,1784,0.15517836291141368
May 1888,May,1888,1945,0.11780870392234027
September 1883,September,1883,1106,0.20910523300229183
September 1875,September,1875,186,0.23897959183673473
March 1885,March,1885,567,0.12311507936507939
November 1883,November,1883,2693,0.0917145888800818
May 1878,May,1878,1237,0.08840257638801326
September 1883,September,1883,980,0.22162803800444247
April 1882,April,1882,1112,0.13016059209607597
October 1877,October,1877,2499,0.2423856676234394
July 1888,July,1888,1156,0.1922629521016618
November 1883,November,1883,1453,-0.0030802383782516205
January 1885,January,1885,643,0.11073757763975156
December 1882,December,1882,2464,0.23623774373774387
February 1886,February,1886,1249,0.15247738095238092
May 1888,May,1888,445,0.048572974644403216
September 1875,September,1875,301,0.15396464646464644
November 1883,November,1883,2865,0.10114441808191804
October 1883,October,1883,1319,0.19224556489262368
September 1889,September,1889,2700,0.12957362414300216
June 1883,June,1883,3432,0.11170565347351062
June 1885,June,1885,887,0.1425245653817082
July 1873,July,1873,1479,0.21223033910533912
November 1880,November,1880,1387,0.10493203463203464
September 1876,September,1876,119,0.2569444444444444
October 1883,October,1883,3674,0.11721114597261399
February 1886,February,1886,1283,0.20316369047619054
March 1890,March,1890,566,0.196628672745694
January 1886,January,1886,541,0.11703509256700746
November 1888,November,1888,907,0.12027017159547282
October 1888,October,1888,858,0.17906415681696577
July 1883,July,1883,1520,0.005492128545407239
November 1883,November,1883,1411,0.07383506883506882
January 1883,January,1883,1370,0.15295830202855
June 1888,June,1888,377,0.09648809523809523
June 1875,June,1875,184,0.006547619047619043
October 1882,October,1882,762,0.12763246013246013
April 1889,April,1889,266,0.042965367965367963
October 1883,October,1883,2598,0.0521903933387187
February 1882,February,1882,293,0.08211904761904762
May 1877,May,1877,1249,0.11404446248196243
October 1888,October,1888,996,0.16974082341269842
May 1883,May,1883,878,0.3036828434723172
March 1884,March,1884,853,0.13936011904761902
May 1876,May,1876,12,0.0
December 1875,December,1875,301,0.2291666666666666
September 1877,September,1877,873,0.2501752860235002
November 1875,November,1875,241,0.29333333333333333
November 1884,November,1884,1394,0.10325303416821273
March 1883,March,1883,1287,0.1382457357457357
May 1890,May,1890,721,0.11147746598639455
February 1886,February,1886,1784,0.13747716769868665
July 1874,July,1874,89,0.31875
September 1883,September,1883,686,0.21189919515350547
July 1882,July,1882,3083,0.14632466761110838
October 1881,October,1881,784,0.24120329670329663
December 1884,December,1884,3299,0.09591137936952912
April 1883,April,1883,1603,0.16925652841781874
May 1877,May,1877,5883,0.08026107521466434
November 1876,November,1876,4117,0.1792188201790852
May 1882,May,1882,206,0.07555555555555556
August 1882,August,1882,1674,0.12538393656273408
November 1884,November,1884,579,0.18864758698092024
May 1882,May,1882,1227,0.08156041986687144
May 1888,May,1888,598,0.076137987012987
August 1883,August,1883,2109,0.12605587705328639
March 1882,March,1882,1010,0.1322544225322003
November 1876,November,1876,1569,0.106171875
August 1879,August,1879,404,0.1446380952380953
September 1880,September,1880,982,0.22756155881155885
July 1877,July,1877,1029,0.24777217463387685
December 1882,December,1882,1473,0.17064210254577225
March 1882,March,1882,2230,0.03199373897707231
April 1876,April,1876,267,0.17738095238095242
November 1884,November,1884,1943,0.16642014584967602
January 1890,January,1890,700,0.20400943396226412
October 1881,October,1881,222,0.16594202898550725
November 1881,November,1881,1978,0.16875502655693336
February 1886,February,1886,896,0.13890350877192983
July 1888,July,1888,1035,0.042079028379028376
March 1885,March,1885,5,0.0
January 1890,January,1890,911,0.11023882648882652
January 1889,January,1889,1453,0.09632819794584496
October 1882,October,1882,1254,0.18025793650793656
May 1885,May,1885,1867,0.1517257322257322
September 1888,September,1888,1369,0.08625176694054247
March 1882,March,1882,698,0.04024305555555555
September 1884,September,1884,723,0.16036758563074355
April 1882,April,1882,1540,0.10937205988455984
September 1875,September,1875,348,0.20876262626262626
January 1884,January,1884,745,0.11896135265700482
May 1883,May,1883,1908,0.08529742858935402
September 1889,September,1889,3770,0.1440489134342955
May 1889,May,1889,1058,0.1760122350263195
December 1883,December,1883,1301,0.051327912500478884
March 1882,March,1882,2340,0.11498201884920628
April 1881,April,1881,204,0.2638888888888889
January 1873,January,1873,421,0.29834312512883937
December 1881,December,1881,6240,0.137702005653462
February 1883,February,1883,1192,0.18488263354768206
March 1873,March,1873,632,0.22819062720225508
May 1873,May,1873,256,0.3
July 1885,July,1885,3669,0.1288127886002888
July 1882,July,1882,1387,0.15339426494914302
July 1887,July,1887,658,0.2218637992831541
September 1889,September,1889,3668,0.08324488642670458
August 1888,August,1888,510,0.1190124933545986
February 1890,February,1890,1712,0.12236706349206349
September 1877,September,1877,2071,0.1477773096284547
May 1890,May,1890,624,0.15121376811594206
April 1883,April,1883,2164,0.14401126014240775
March 1877,March,1877,1193,0.19723657708032713
October 1885,October,1885,2061,0.06192889121460555
June 1888,June,1888,1189,0.10536239013511742
May 1889,May,1889,2389,0.04401575994486442
December 1889,December,1889,435,0.10632594417077178
October 1889,October,1889,1298,0.10299953715048053
October 1888,October,1888,959,0.167184021335807
November 1885,November,1885,712,0.07492673992673994
September 1881,September,1881,713,0.09028712812611116
July 1883,July,1883,1507,0.09064671323074677
September 1882,September,1882,1281,0.17720966958211853
November 1888,November,1888,393,0.3901488095238096
February 1889,February,1889,896,0.24538701197792115
April 1885,April,1885,750,0.1819326725905673
February 1883,February,1883,941,0.19972108843537417
May 1888,May,1888,1935,0.16670931042641568
January 1886,January,1886,2139,0.1311456454425204
March 1889,March,1889,997,0.1852387413581443
September 1889,September,1889,753,-0.004232142857142856
December 1883,December,1883,1442,0.1544889579020013
March 1884,March,1884,1979,0.08211424880029526
June 1873,June,1873,517,0.29075369075369073
June 1888,June,1888,618,0.14071025020177566
July 1882,July,1882,830,0.13260970090515545
September 1885,September,1885,944,0.1810155122655123
October 1882,October,1882,1699,0.1867436836667605
April 1882,April,1882,477,0.10285714285714288
July 1881,July,1881,385,0.15200000000000002
April 1882,April,1882,511,0.1581476530005942
June 1883,June,1883,1529,0.09390256734006729
March 1889,March,1889,1566,0.07271499508894468
May 1888,May,1888,294,0.2840909090909091
September 1883,September,1883,1599,0.1626399711399711
January 1890,January,1890,1812,0.10354070929070926
August 1881,August,1881,896,0.1867045454545454
July 1888,July,1888,359,0.18254329004329006
September 1875,September,1875,452,0.10337301587301585
November 1885,November,1885,707,0.07344104308390023
May 1882,May,1882,4581,0.024642528080028047
November 1888,November,1888,1680,0.12168530982399597
May 1890,May,1890,544,0.16530448717948712
July 1874,July,1874,611,0.276595238095238
January 1882,January,1882,3114,0.09135297538282616
April 1883,April,1883,630,0.1676528073916133
November 1882,November,1882,1088,0.21248067663909254
November 1877,November,1877,2138,0.20215402979373578
December 1884,December,1884,431,0.14583333333333334
February 1883,February,1883,2233,0.08750223408852856
March 1883,March,1883,2005,0.2147301148820486
October 1884,October,1884,684,0.17503263931835356
April 1885,April,1885,648,0.09793591654247392
July 1877,July,1877,618,0.19239463601532564
November 1885,November,1885,1336,0.06750134163357306
March 1876,March,1876,308,0.3064095238095238
May 1888,May,1888,645,0.029502588914353606
July 1883,July,1883,2041,0.12653633271490414
September 1888,September,1888,1840,0.07263540776279628
July 1883,July,1883,3399,0.08952279085822253
August 1882,August,1882,1075,0.1250967866821525
November 1882,November,1882,1185,0.09651041666666665
November 1881,November,1881,2420,0.08592500571921298
February 1876,February,1876,185,0.27090909090909093
June 1890,June,1890,309,0.0753735632183908
October 1884,October,1884,415,0.10932452604866401
July 1882,July,1882,3664,0.11215359739789713
August 1885,August,1885,1581,0.08452118080025059
January 1886,January,1886,1530,0.07754224270353302
September 1888,September,1888,917,0.13771609800455956
December 1875,December,1875,319,0.11322463768115945
September 1888,September,1888,2281,0.10425808740897495
May 1885,May,1885,378,0.25612244897959185
February 1888,February,1888,774,0.1871601248214151
December 1882,December,1882,664,0.16384876423012015
July 1874,July,1874,235,0.43703703703703706
April 1883,April,1883,1272,0.15475389194139194
July 1883,July,1883,1631,0.09683493530951155
February 1885,February,1885,925,0.06804468362687542
November 1881,November,1881,3795,0.12226346024449958
May 1890,May,1890,1090,0.0893042172880883
October 1888,October,1888,881,0.10903146149625019
April 1885,April,1885,1396,0.08114052614052612
November 1878,November,1878,2403,0.13430820310910813
September 1882,September,1882,1048,0.20662207624416917
June 1888,June,1888,823,0.11937860082304524
July 1878,July,1878,1268,0.18843765341188012
March 1873,March,1873,115,0.0
August 1885,August,1885,831,0.05387786596119929
January 1882,January,1882,1158,0.05292494752722026
October 1885,October,1885,2130,0.11032992897070566
March 1875,March,1875,202,0.3476785714285714
May 1883,May,1883,970,0.18050439997161305
November 1885,November,1885,1946,0.18196278942017588
December 1882,December,1882,702,0.1881428894488595
August 1883,August,1883,2478,0.11600541125541125
August 1888,August,1888,753,0.15839790153349476
March 1876,March,1876,326,0.0573051948051948
December 1883,December,1883,2789,0.09730878436102314
August 1876,August,1876,2604,0.18249962247055268
September 1888,September,1888,872,0.02759991835649731
September 1875,September,1875,282,0.02583705357142857
August 1877,August,1877,1486,0.32200323339212233
February 1886,February,1886,766,0.19871212121212123
February 1889,February,1889,1703,0.10527733604264213
November 1882,November,1882,891,0.11133057743713481
June 1890,June,1890,258,-0.03875
May 1888,May,1888,1385,0.1712989221662691
June 1888,June,1888,938,0.07640484515484516
February 1883,February,1883,1998,0.09797126096815537
May 1882,May,1882,729,0.16736607142857143
March 1888,March,1888,918,0.17434998882181985
October 1888,October,1888,676,0.21433831672203765
April 1882,April,1882,1335,0.06963538748832869
January 1876,January,1876,246,0.07728696741854636
May 1888,May,1888,1083,0.16730174081237909
May 1877,May,1877,1350,0.10882509303561934
May 1888,May,1888,775,0.1497344411860541
May 1882,May,1882,958,0.1209137709137709
March 1882,March,1882,918,0.10697344322344321
June 1890,June,1890,1559,0.11902511136206786
July 1890,July,1890,682,0.16571208112874783
May 1885,May,1885,1417,0.16447819600361974
February 1884,February,1884,2737,0.04561158650671359
July 1882,July,1882,1110,0.030880577054819475
February 1886,February,1886,1778,0.12097503815129708
March 1883,March,1883,2179,0.22184575345289642
April 1888,April,1888,1155,0.10922308948066524
October 1880,October,1880,1262,0.16154761904761897
April 1882,April,1882,1657,0.07398351648351649
May 1890,May,1890,1391,0.1602561327561327
November 1882,November,1882,1242,0.19650297619047624
May 1884,May,1884,855,0.19513708513708508
March 1884,March,1884,2106,0.06195419395419395
June 1882,June,1882,1198,0.10695914168136389
October 1877,October,1877,1209,0.23757218509645694
January 1883,January,1883,1124,0.09542782738095235
February 1886,February,1886,1281,0.15592885181375277
April 1888,April,1888,1063,0.15286287477954144
June 1882,June,1882,1680,0.08951023723750999
March 1878,March,1878,1078,0.12435485103132163
March 1877,March,1877,573,0.07095616024187454
August 1876,August,1876,3390,0.09898003607503615
August 1888,August,1888,1609,0.13594639113507037
May 1882,May,1882,156,0.024523809523809517
September 1888,September,1888,1477,0.12206965606571903
October 1883,October,1883,3815,0.08256813320643101
January 1876,January,1876,462,0.28774801587301585
November 1884,November,1884,1334,0.183665404040404
May 1890,May,1890,587,0.06704137392661982
July 1884,July,1884,307,0.1389398101898102
July 1883,July,1883,1433,0.1479568666761289
November 1881,November,1881,3591,0.1923581343406504
October 1889,October,1889,830,0.1756330466070726
May 1876,May,1876,406,0.16698198198198197
May 1883,May,1883,285,-0.028079710144927546
October 1881,October,1881,993,0.27319878680989795
October 1875,October,1875,785,0.12884389002810054
October 1889,October,1889,1070,0.19453273809523805
October 1883,October,1883,3162,0.15374301046176048
May 1890,May,1890,969,0.16872443977591034
February 1888,February,1888,816,0.06596681096681095
April 1876,April,1876,440,0.18177842565597666
June 1881,June,1881,652,0.1157936507936508
February 1883,February,1883,2335,0.11717867678044672
January 1885,January,1885,970,0.15336012564671103
July 1884,July,1884,1016,0.07261104253872849
August 1885,August,1885,677,0.17873872655122655
November 1885,November,1885,1514,0.08062539772167104
May 1883,May,1883,1582,0.09553566681856154
September 1888,September,1888,1009,0.09829761904761906
July 1883,July,1883,1666,0.1381402691511387
September 1888,September,1888,749,0.10095440708454406
June 1888,June,1888,837,0.13548608673608675
January 1884,January,1884,443,0.021646825396825404
February 1886,February,1886,118,0.028571428571428574
January 1877,January,1877,729,0.1276434984768318
February 1877,February,1877,1078,0.11234386879548172
April 1883,April,1883,1331,0.16674755656714418
June 1882,June,1882,4806,0.09419641479276897
December 1872,December,1872,173,0.2188235294117647
February 1877,February,1877,4103,0.19643335174199356
June 1888,June,1888,2711,0.1327802926240427
December 1883,December,1883,2601,0.021277302243211334
November 1885,November,1885,958,0.059143990929705216
May 1881,May,1881,697,0.18660714285714292
July 1877,July,1877,1158,0.23280859916782246
February 1889,February,1889,912,0.12392374517374521
December 1877,December,1877,2872,0.1876751092509387
March 1883,March,1883,929,0.15522289766970612
October 1888,October,1888,362,-0.0042319399350649305
June 1885,June,1885,2491,0.1286249178395775
August 1888,August,1888,1797,0.0908064191700555
March 1885,March,1885,6,0.0
October 1888,October,1888,1422,0.1703573344060069
December 1884,December,1884,2892,0.091504276973027
April 1875,April,1875,353,0.05065637065637066
September 1880,September,1880,2774,0.12630794971312215
May 1882,May,1882,798,0.12933097718253966
July 1882,July,1882,2322,0.10285631035631036
February 1886,February,1886,2259,0.14389663682277312
July 1876,July,1876,909,0.15018578643578645
