G,Date,Start (ET),Sumat,Score,Where,Opponent,Result,OT,Tm,Opp,W,L,Streak,Notes
50,Thu Feb 2 2017,10:30p,,Box Score,,Golden State Warriors,L,,120,133,31,19,L 1,
51,Sun Feb 5 2017,2:00p,,Box Score,@,Boston Celtics,L,,102,107,31,20,L 2,
52,Mon Feb 6 2017,7:30p,,Box Score,@,Toronto Raptors,L,,109,118,31,21,L 3,
53,Wed Feb 8 2017,8:00p,,Box Score,@,New York Knicks,W,,119,115,32,21,W 1,
54,Sat Feb 11 2017,5:00p,,Box Score,@,Charlotte Hornets,W,,107,102,33,21,W 2,
55,Mon Feb 13 2017,9:00p,,Box Score,@,Utah Jazz,W,,88,72,34,21,W 3,
56,Wed Feb 15 2017,10:30p,,Box Score,,Atlanta Hawks,W,,99,84,35,21,W 4,
57,Thu Feb 23 2017,10:30p,,Box Score,@,Golden State Warriors,L,,113,123,35,22,L 1,
58,Fri Feb 24 2017,10:30p,,Box Score,,San Antonio Spurs,L,,97,105,35,23,L 2,
59,Sun Feb 26 2017,9:30p,,Box Score,,Charlotte Hornets,W,OT,124,121,36,23,W 1,
60,Wed Mar 1 2017,10:30p,,Box Score,,Houston Rockets,L,,103,122,36,24,L 1,
