G,Date,Start (ET),Sumat,Score,Where,Opponent,Result,OT,Tm,Opp,W,L,Streak,Notes
80,Sat Apr 12 2014,3:30p,,Box Score,,Sacramento Kings,W,,117,101,56,24,W 1,
81,Tue Apr 15 2014,10:30p,,Box Score,,Denver Nuggets,W,,117,105,57,24,W 2,
82,Wed Apr 16 2014,10:30p,,Box Score,@,Portland Trail Blazers,L,,104,110,57,25,L 1,
1,Wed Oct 31 2012,10:30p,,Box Score,,Memphis Grizzlies,W,,101,92,1,0,W 1,
2,Fri Nov 2 2012,10:30p,,Box Score,@,Los Angeles Lakers,W,,105,95,2,0,W 2,
3,Sat Nov 3 2012,10:30p,,Box Score,,Golden State Warriors,L,,110,114,2,1,L 1,
4,Mon Nov 5 2012,10:30p,,Box Score,,Cleveland Cavaliers,L,,101,108,2,2,L 2,
5,Wed Nov 7 2012,10:30p,,Box Score,,San Antonio Spurs,W,,106,84,3,2,W 1,
6,Thu Nov 8 2012,10:30p,,Box Score,@,Portland Trail Blazers,W,,103,90,4,2,W 2,
7,Sun Nov 11 2012,3:30p,,Box Score,,Atlanta Hawks,W,,89,76,5,2,W 3,
8,Wed Nov 14 2012,10:30p,,Box Score,,Miami Heat,W,,107,100,6,2,W 4,
9,Sat Nov 17 2012,9:00p,,Box Score,,Chicago Bulls,W,,101,80,7,2,W 5,
10,Mon Nov 19 2012,8:30p,,Box Score,@,San Antonio Spurs,W,,92,87,8,2,W 6,
11,Wed Nov 21 2012,7:30p,,Box Score,@,Oklahoma City Thunder,L,OT,111,117,8,3,L 1,
12,Fri Nov 23 2012,7:30p,,Box Score,@,Brooklyn Nets,L,,76,86,8,4,L 2,
13,Sat Nov 24 2012,7:00p,,Box Score,@,Atlanta Hawks,L,,93,104,8,5,L 3,
14,Mon Nov 26 2012,10:30p,,Box Score,,New Orleans Hornets,L,,98,105,8,6,L 4,
15,Wed Nov 28 2012,10:30p,,Box Score,,Minnesota Timberwolves,W,,101,95,9,6,W 1,
16,Sat Dec 1 2012,10:30p,,Box Score,,Sacramento Kings,W,,116,81,10,6,W 2,
17,Mon Dec 3 2012,9:00p,,Box Score,@,Utah Jazz,W,,105,104,11,6,W 3,
18,Wed Dec 5 2012,10:30p,,Box Score,,Dallas Mavericks,W,,112,90,12,6,W 4,
19,Sat Dec 8 2012,3:30p,,Box Score,,Phoenix Suns,W,,117,99,13,6,W 5,
20,Sun Dec 9 2012,3:30p,,Box Score,,Toronto Raptors,W,,102,83,14,6,W 6,
21,Tue Dec 11 2012,9:30p,,Box Score,@,Chicago Bulls,W,,94,89,15,6,W 7,
22,Wed Dec 12 2012,7:30p,,Box Score,@,Charlotte Bobcats,W,,100,94,16,6,W 8,
23,Sat Dec 15 2012,8:30p,,Box Score,@,Milwaukee Bucks,W,,111,85,17,6,W 9,
24,Mon Dec 17 2012,7:30p,,Box Score,@,Detroit Pistons,W,,88,76,18,6,W 10,
25,Wed Dec 19 2012,10:30p,,Box Score,,New Orleans Hornets,W,,93,77,19,6,W 11,
26,Fri Dec 21 2012,10:30p,,Box Score,,Sacramento Kings,W,,97,85,20,6,W 12,
27,Sun Dec 23 2012,8:00p,,Box Score,@,Phoenix Suns,W,,103,77,21,6,W 13,
28,Tue Dec 25 2012,10:30p,,Box Score,,Denver Nuggets,W,,112,100,22,6,W 14,
29,Thu Dec 27 2012,10:30p,,Box Score,,Boston Celtics,W,,106,77,23,6,W 15,
30,Fri Dec 28 2012,9:00p,,Box Score,@,Utah Jazz,W,,116,114,24,6,W 16,
31,Sun Dec 30 2012,9:30p,,Box Score,,Utah Jazz,W,,107,96,25,6,W 17,
32,Tue Jan 1 2013,9:00p,,Box Score,@,Denver Nuggets,L,,78,92,25,7,L 1,
33,Wed Jan 2 2013,10:30p,,Box Score,@,Golden State Warriors,L,,94,115,25,8,L 2,
34,Fri Jan 4 2013,10:30p,,Box Score,,Los Angeles Lakers,W,,107,102,26,8,W 1,
35,Sat Jan 5 2013,10:30p,,Box Score,,Golden State Warriors,W,,115,89,27,8,W 2,
36,Wed Jan 9 2013,10:30p,,Box Score,,Dallas Mavericks,W,,99,93,28,8,W 3,
37,Sat Jan 12 2013,3:30p,,Box Score,,Orlando Magic,L,,101,104,28,9,L 1,
38,Mon Jan 14 2013,8:00p,,Box Score,@,Memphis Grizzlies,W,,99,73,29,9,W 1,
39,Tue Jan 15 2013,8:00p,,Box Score,@,Houston Rockets,W,,117,109,30,9,W 2,
40,Thu Jan 17 2013,8:00p,,Box Score,@,Minnesota Timberwolves,W,,90,77,31,9,W 3,
41,Sat Jan 19 2013,10:30p,,Box Score,,Washington Wizards,W,,94,87,32,9,W 4,
42,Mon Jan 21 2013,4:00p,,Box Score,@,Golden State Warriors,L,,99,106,32,10,L 1,
43,Tue Jan 22 2013,10:30p,,Box Score,,Oklahoma City Thunder,L,,97,109,32,11,L 2,
44,Thu Jan 24 2013,10:30p,,Box Score,@,Phoenix Suns,L,,88,93,32,12,L 3,
45,Sat Jan 26 2013,10:00p,,Box Score,@,Portland Trail Blazers,L,,100,101,32,13,L 4,
46,Sun Jan 27 2013,9:30p,,Box Score,,Portland Trail Blazers,W,,96,83,33,13,W 1,
47,Wed Jan 30 2013,8:00p,,Box Score,@,Minnesota Timberwolves,W,,96,90,34,13,W 2,
48,Fri Feb 1 2013,7:00p,,Box Score,@,Toronto Raptors,L,,73,98,34,14,L 1,
49,Sun Feb 3 2013,1:00p,,Box Score,@,Boston Celtics,L,,104,106,34,15,L 2,
50,Mon Feb 4 2013,7:00p,,Box Score,@,Washington Wizards,L,,90,98,34,16,L 3,
51,Wed Feb 6 2013,7:00p,,Box Score,@,Orlando Magic,W,,86,76,35,16,W 1,
52,Fri Feb 8 2013,8:00p,,Box Score,@,Miami Heat,L,,89,111,35,17,L 1,
53,Sun Feb 10 2013,1:00p,,Box Score,@,New York Knicks,W,,102,88,36,17,W 1,
54,Mon Feb 11 2013,7:00p,,Box Score,@,Philadelphia 76ers,W,,107,90,37,17,W 2,
55,Wed Feb 13 2013,10:30p,,Box Score,,Houston Rockets,W,,106,96,38,17,W 3,
56,Thu Feb 14 2013,10:30p,,Box Score,@,Los Angeles Lakers,W,,125,101,39,17,W 4,
57,Thu Feb 21 2013,10:30p,,Box Score,,San Antonio Spurs,L,,90,116,39,18,L 1,
58,Sat Feb 23 2013,10:30p,,Box Score,,Utah Jazz,W,,107,94,40,18,W 1,
59,Tue Feb 26 2013,10:30p,,Box Score,,Charlotte Bobcats,W,,106,84,41,18,W 2,
60,Thu Feb 28 2013,7:00p,,Box Score,@,Indiana Pacers,W,,99,91,42,18,W 3,
61,Fri Mar 1 2013,7:30p,,Box Score,@,Cleveland Cavaliers,W,,105,89,43,18,W 4,
62,Sun Mar 3 2013,3:30p,,Box Score,,Oklahoma City Thunder,L,,104,108,43,19,L 1,
63,Wed Mar 6 2013,10:30p,,Box Score,,Milwaukee Bucks,W,,117,101,44,19,W 1,
64,Thu Mar 7 2013,10:30p,,Box Score,@,Denver Nuggets,L,,92,107,44,20,L 1,
65,Sun Mar 10 2013,9:30p,,Box Score,,Detroit Pistons,W,,129,97,45,20,W 1,
66,Wed Mar 13 2013,10:30p,,Box Score,,Memphis Grizzlies,L,,85,96,45,21,L 1,
67,Sun Mar 17 2013,3:30p,,Box Score,,New York Knicks,W,,93,80,46,21,W 1,
68,Tue Mar 19 2013,10:00p,,Box Score,@,Sacramento Kings,L,,101,116,46,22,L 1,
69,Wed Mar 20 2013,10:30p,,Box Score,,Philadelphia 76ers,W,,101,72,47,22,W 1,
70,Sat Mar 23 2013,10:30p,,Box Score,,Brooklyn Nets,W,,101,95,48,22,W 2,
71,Tue Mar 26 2013,9:30p,,Box Score,@,Dallas Mavericks,L,OT,102,109,48,23,L 1,
72,Wed Mar 27 2013,8:00p,,Box Score,@,New Orleans Hornets,W,,105,91,49,23,W 1,
73,Fri Mar 29 2013,8:30p,,Box Score,@,San Antonio Spurs,L,,102,104,49,24,L 1,
74,Sat Mar 30 2013,8:00p,,Box Score,@,Houston Rockets,L,,81,98,49,25,L 2,
75,Mon Apr 1 2013,10:30p,,Box Score,,Indiana Pacers,L,,106,109,49,26,L 3,
76,Wed Apr 3 2013,10:30p,,Box Score,,Phoenix Suns,W,,126,101,50,26,W 1,
77,Sun Apr 7 2013,3:30p,,Box Score,,Los Angeles Lakers,W,,109,95,51,26,W 2,
78,Wed Apr 10 2013,10:30p,,Box Score,,Minnesota Timberwolves,W,,111,95,52,26,W 3,
79,Fri Apr 12 2013,8:00p,,Box Score,@,New Orleans Hornets,W,,96,93,53,26,W 4,
80,Sat Apr 13 2013,8:00p,,Box Score,@,Memphis Grizzlies,W,,91,87,54,26,W 5,
81,Tue Apr 16 2013,10:30p,,Box Score,,Portland Trail Blazers,W,,93,77,55,26,W 6,
82,Wed Apr 17 2013,10:30p,,Box Score,@,Sacramento Kings,W,,112,108,56,26,W 7,
1,Sun Dec 25 2011,10:30p,,Box Score,@,Golden State Warriors,W,,105,86,1,0,W 1,
2,Wed Dec 28 2011,8:30p,,Box Score,@,San Antonio Spurs,L,,90,115,1,1,L 1,
3,Fri Dec 30 2011,10:30p,,Box Score,,Chicago Bulls,L,,101,114,1,2,L 2,
4,Sun Jan 1 2012,9:30p,,Box Score,,Portland Trail Blazers,W,,93,88,2,2,W 1,
5,Wed Jan 4 2012,10:30p,,Box Score,,Houston Rockets,W,,117,89,3,2,W 2,
6,Sat Jan 7 2012,10:30p,,Box Score,,Milwaukee Bucks,W,,92,86,4,2,W 3,
7,Tue Jan 10 2012,10:00p,,Box Score,@,Portland Trail Blazers,L,,97,105,4,3,L 1,
8,Wed Jan 11 2012,10:30p,,Box Score,,Miami Heat,W,OT,95,89,5,3,W 1,
9,Sat Jan 14 2012,10:30p,,Box Score,,Los Angeles Lakers,W,,102,94,6,3,W 2,
10,Mon Jan 16 2012,3:30p,,Box Score,,New Jersey Nets,W,,101,91,7,3,W 3,
11,Tue Jan 17 2012,9:00p,,Box Score,@,Utah Jazz,L,,79,108,7,4,L 1,
12,Wed Jan 18 2012,10:30p,,Box Score,,Dallas Mavericks,W,,91,89,8,4,W 1,
13,Fri Jan 20 2012,10:30p,,Box Score,,Minnesota Timberwolves,L,,98,101,8,5,L 1,
14,Sun Jan 22 2012,3:30p,,Box Score,,Toronto Raptors,W,,103,91,9,5,W 1,
15,Wed Jan 25 2012,10:30p,,Box Score,@,Los Angeles Lakers,L,,91,96,9,6,L 1,
16,Thu Jan 26 2012,10:30p,,Box Score,,Memphis Grizzlies,W,,98,91,10,6,W 1,
17,Sun Jan 29 2012,8:00p,,Box Score,@,Denver Nuggets,W,,109,105,11,6,W 2,
18,Mon Jan 30 2012,10:30p,,Box Score,,Oklahoma City Thunder,W,,112,100,12,6,W 3,
19,Wed Feb 1 2012,10:30p,,Box Score,@,Utah Jazz,W,,107,105,13,6,W 4,
20,Thu Feb 2 2012,10:30p,,Box Score,,Denver Nuggets,L,,91,112,13,7,L 1,
21,Sat Feb 4 2012,7:00p,,Box Score,@,Washington Wizards,W,,107,81,14,7,W 1,
22,Mon Feb 6 2012,7:00p,,Box Score,@,Orlando Magic,W,OT,107,102,15,7,W 2,
23,Wed Feb 8 2012,7:00p,,Box Score,@,Cleveland Cavaliers,L,,92,99,15,8,L 1,
24,Fri Feb 10 2012,7:00p,,Box Score,@,Philadelphia 76ers,W,,78,77,16,8,W 1,
25,Sat Feb 11 2012,7:00p,,Box Score,@,Charlotte Bobcats,W,,111,86,17,8,W 2,
26,Mon Feb 13 2012,8:30p,,Box Score,@,Dallas Mavericks,L,,92,96,17,9,L 1,
27,Wed Feb 15 2012,10:30p,,Box Score,,Washington Wizards,W,,102,84,18,9,W 1,
28,Thu Feb 16 2012,10:30p,,Box Score,@,Portland Trail Blazers,W,,74,71,19,9,W 2,
29,Sat Feb 18 2012,3:30p,,Box Score,,San Antonio Spurs,L,OT,100,103,19,10,L 1,
30,Mon Feb 20 2012,10:30p,,Box Score,@,Golden State Warriors,L,,97,104,19,11,L 2,
31,Wed Feb 22 2012,10:30p,,Box Score,,Denver Nuggets,W,,103,95,20,11,W 1,
32,Tue Feb 28 2012,10:30p,,Box Score,,Minnesota Timberwolves,L,,97,109,20,12,L 1,
33,Thu Mar 1 2012,10:00p,,Box Score,@,Sacramento Kings,W,,108,100,21,12,W 1,
34,Fri Mar 2 2012,10:30p,,Box Score,@,Phoenix Suns,L,,78,81,21,13,L 1,
35,Sun Mar 4 2012,7:00p,,Box Score,@,Houston Rockets,W,OT,105,103,22,13,W 1,
36,Mon Mar 5 2012,8:00p,,Box Score,@,Minnesota Timberwolves,L,,94,95,22,14,L 1,
37,Wed Mar 7 2012,8:00p,,Box Score,@,New Jersey Nets,L,,100,101,22,15,L 2,
38,Fri Mar 9 2012,8:30p,,Box Score,@,San Antonio Spurs,W,,120,108,23,15,W 1,
39,Sun Mar 11 2012,9:30p,,Box Score,,Golden State Warriors,L,,93,97,23,16,L 1,
40,Mon Mar 12 2012,10:30p,,Box Score,,Boston Celtics,L,,85,94,23,17,L 2,
41,Wed Mar 14 2012,10:30p,,Box Score,,Atlanta Hawks,W,,96,82,24,17,W 1,
42,Thu Mar 15 2012,10:30p,,Box Score,,Phoenix Suns,L,,87,91,24,18,L 1,
43,Sat Mar 17 2012,3:30p,,Box Score,,Houston Rockets,W,,95,91,25,18,W 1,
44,Sun Mar 18 2012,3:30p,,Box Score,,Detroit Pistons,W,OT,87,83,26,18,W 2,
45,Tue Mar 20 2012,7:00p,,Box Score,@,Indiana Pacers,L,,89,102,26,19,L 1,
46,Wed Mar 21 2012,8:00p,,Box Score,@,Oklahoma City Thunder,L,,91,114,26,20,L 2,
47,Thu Mar 22 2012,8:00p,,Box Score,@,New Orleans Hornets,L,,90,97,26,21,L 3,
48,Sat Mar 24 2012,3:00p,,Box Score,,Memphis Grizzlies,W,,101,85,27,21,W 1,
49,Mon Mar 26 2012,10:30p,,Box Score,,New Orleans Hornets,W,,97,85,28,21,W 2,
50,Wed Mar 28 2012,10:30p,,Box Score,,Phoenix Suns,W,,103,86,29,21,W 3,
51,Fri Mar 30 2012,10:30p,,Box Score,,Portland Trail Blazers,W,,98,97,30,21,W 4,
52,Sat Mar 31 2012,10:30p,,Box Score,,Utah Jazz,W,,105,96,31,21,W 5,
53,Mon Apr 2 2012,8:30p,,Box Score,@,Dallas Mavericks,W,,94,75,32,21,W 6,
54,Wed Apr 4 2012,10:30p,,Box Score,,Los Angeles Lakers,L,,108,113,32,22,L 1,
55,Thu Apr 5 2012,10:00p,,Box Score,@,Sacramento Kings,W,,93,85,33,22,W 1,
56,Sat Apr 7 2012,10:30p,,Box Score,,Sacramento Kings,W,,109,94,34,22,W 2,
57,Mon Apr 9 2012,8:00p,,Box Score,@,Memphis Grizzlies,L,,85,94,34,23,L 1,
58,Wed Apr 11 2012,8:00p,,Box Score,@,Oklahoma City Thunder,W,,100,98,35,23,W 1,
59,Thu Apr 12 2012,8:00p,,Box Score,@,Minnesota Timberwolves,W,,95,82,36,23,W 2,
60,Sat Apr 14 2012,3:30p,,Box Score,,Golden State Warriors,W,,112,104,37,23,W 3,
61,Mon Apr 16 2012,10:30p,,Box Score,,Oklahoma City Thunder,W,,92,77,38,23,W 4,
62,Wed Apr 18 2012,9:00p,,Box Score,@,Denver Nuggets,W,,104,98,39,23,W 5,
63,Thu Apr 19 2012,10:30p,,Box Score,@,Phoenix Suns,L,,90,93,39,24,L 1,
64,Sun Apr 22 2012,9:30p,,Box Score,,New Orleans Hornets,W,,107,98,40,24,W 1,
65,Tue Apr 24 2012,7:30p,,Box Score,@,Atlanta Hawks,L,,102,109,40,25,L 1,
66,Wed Apr 25 2012,8:00p,,Box Score,@,New York Knicks,L,,93,99,40,26,L 2,
1,Wed Oct 27 2010,10:30p,,Box Score,,Portland Trail Blazers,L,,88,98,0,1,L 1,
2,Fri Oct 29 2010,10:30p,,Box Score,@,Golden State Warriors,L,,91,109,0,2,L 2,
3,Sun Oct 31 2010,3:30p,,Box Score,,Dallas Mavericks,L,,83,99,0,3,L 3,
4,Mon Nov 1 2010,10:30p,,Box Score,,San Antonio Spurs,L,,88,97,0,4,L 4,
5,Wed Nov 3 2010,10:30p,,Box Score,,Oklahoma City Thunder,W,,107,92,1,4,W 1,
6,Fri Nov 5 2010,10:30p,,Box Score,@,Denver Nuggets,L,,104,111,1,5,L 1,
7,Sat Nov 6 2010,9:00p,,Box Score,@,Utah Jazz,L,2OT,107,109,1,6,L 2,
8,Tue Nov 9 2010,8:00p,,Box Score,@,New Orleans Hornets,L,,82,101,1,7,L 3,
9,Wed Nov 10 2010,9:30p,,Box Score,@,San Antonio Spurs,L,,95,107,1,8,L 4,
10,Fri Nov 12 2010,10:30p,,Box Score,,Detroit Pistons,L,OT,107,113,1,9,L 5,
11,Mon Nov 15 2010,10:30p,,Box Score,,New Jersey Nets,L,,96,110,1,10,L 6,
12,Wed Nov 17 2010,8:00p,,Box Score,@,Minnesota Timberwolves,L,,111,113,1,11,L 7,
13,Thu Nov 18 2010,7:00p,,Box Score,@,Indiana Pacers,L,,80,107,1,12,L 8,
14,Sat Nov 20 2010,10:30p,,Box Score,,New York Knicks,L,,115,124,1,13,L 9,
15,Mon Nov 22 2010,10:30p,,Box Score,,New Orleans Hornets,W,,99,95,2,13,W 1,
16,Thu Nov 25 2010,10:30p,,Box Score,,Sacramento Kings,W,,100,82,3,13,W 2,
17,Fri Nov 26 2010,9:00p,,Box Score,@,Phoenix Suns,L,,108,116,3,14,L 1,
18,Sun Nov 28 2010,3:30p,,Box Score,,Utah Jazz,L,,97,109,3,15,L 2,
19,Wed Dec 1 2010,10:30p,,Box Score,,San Antonio Spurs,W,,90,85,4,15,W 1,
20,Fri Dec 3 2010,9:00p,,Box Score,@,Denver Nuggets,L,,104,109,4,16,L 1,
21,Sun Dec 5 2010,9:00p,,Box Score,@,Portland Trail Blazers,L,,91,100,4,17,L 2,
22,Mon Dec 6 2010,10:30p,,Box Score,,Sacramento Kings,W,,98,91,5,17,W 1,
23,Wed Dec 8 2010,10:30p,,Box Score,,Los Angeles Lakers,L,,86,87,5,18,L 1,
24,Sat Dec 11 2010,3:30p,,Box Score,,Memphis Grizzlies,L,,83,84,5,19,L 2,
25,Sun Dec 12 2010,9:30p,,Box Score,,Orlando Magic,L,,85,94,5,20,L 3,
26,Wed Dec 15 2010,7:00p,,Box Score,@,Philadelphia 76ers,L,,91,105,5,21,L 4,
27,Fri Dec 17 2010,7:30p,,Box Score,@,Detroit Pistons,W,,109,88,6,21,W 1,
28,Sat Dec 18 2010,8:00p,,Box Score,@,Chicago Bulls,W,,100,99,7,21,W 2,
29,Mon Dec 20 2010,10:30p,,Box Score,,Minnesota Timberwolves,W,,113,90,8,21,W 3,
30,Wed Dec 22 2010,10:30p,,Box Score,,Houston Rockets,L,,92,97,8,22,L 1,
31,Sun Dec 26 2010,3:00p,,Box Score,,Phoenix Suns,W,,108,103,9,22,W 1,
32,Mon Dec 27 2010,10:00p,,Box Score,@,Sacramento Kings,W,,100,99,10,22,W 2,
33,Wed Dec 29 2010,10:30p,,Box Score,,Utah Jazz,L,,95,103,10,23,L 1,
34,Sun Jan 2 2011,3:30p,,Box Score,,Atlanta Hawks,L,,98,107,10,24,L 2,
35,Wed Jan 5 2011,10:30p,,Box Score,,Denver Nuggets,W,,106,93,11,24,W 1,
36,Sun Jan 9 2011,3:30p,,Box Score,,Golden State Warriors,W,,105,91,12,24,W 2,
37,Wed Jan 12 2011,10:30p,,Box Score,,Miami Heat,W,,111,105,13,24,W 3,
38,Fri Jan 14 2011,10:30p,,Box Score,@,Golden State Warriors,L,,112,122,13,25,L 1,
39,Sun Jan 16 2011,3:30p,,Box Score,,Los Angeles Lakers,W,,99,92,14,25,W 1,
40,Mon Jan 17 2011,3:30p,,Box Score,,Indiana Pacers,W,,114,107,15,25,W 2,
41,Wed Jan 19 2011,10:30p,,Box Score,,Minnesota Timberwolves,W,,126,111,16,25,W 3,
42,Thu Jan 20 2011,10:30p,,Box Score,@,Portland Trail Blazers,L,,93,108,16,26,L 1,
43,Sat Jan 22 2011,10:30p,,Box Score,,Golden State Warriors,W,,113,109,17,26,W 1,
44,Tue Jan 25 2011,8:30p,,Box Score,@,Dallas Mavericks,L,,105,112,17,27,L 1,
45,Wed Jan 26 2011,8:30p,,Box Score,@,Houston Rockets,L,,83,96,17,28,L 2,
46,Sat Jan 29 2011,10:30p,,Box Score,,Charlotte Bobcats,W,,103,88,18,28,W 1,
47,Mon Jan 31 2011,10:30p,,Box Score,,Milwaukee Bucks,W,,105,98,19,28,W 2,
48,Wed Feb 2 2011,10:30p,,Box Score,,Chicago Bulls,L,,88,106,19,29,L 1,
49,Fri Feb 4 2011,7:30p,,Box Score,@,Atlanta Hawks,L,,100,101,19,30,L 2,
50,Sun Feb 6 2011,12:00p,,Box Score,@,Miami Heat,L,,79,97,19,31,L 3,
51,Tue Feb 8 2011,7:00p,,Box Score,@,Orlando Magic,L,,85,101,19,32,L 4,
52,Wed Feb 9 2011,7:30p,,Box Score,@,New York Knicks,W,,116,108,20,32,W 1,
53,Fri Feb 11 2011,7:30p,,Box Score,@,Cleveland Cavaliers,L,OT,119,126,20,33,L 1,
54,Sun Feb 13 2011,6:00p,,Box Score,@,Toronto Raptors,L,,93,98,20,34,L 2,
55,Mon Feb 14 2011,8:00p,,Box Score,@,Milwaukee Bucks,L,,78,102,20,35,L 3,
56,Wed Feb 16 2011,8:00p,,Box Score,@,Minnesota Timberwolves,W,,98,90,21,35,W 1,
57,Tue Feb 22 2011,8:00p,,Box Score,@,Oklahoma City Thunder,L,,88,111,21,36,L 1,
58,Wed Feb 23 2011,9:30p,,Box Score,@,New Orleans Hornets,L,,87,98,21,37,L 2,
59,Fri Feb 25 2011,10:30p,,Box Score,@,Los Angeles Lakers,L,,95,108,21,38,L 3,
60,Sat Feb 26 2011,10:30p,,Box Score,,Boston Celtics,L,,92,99,21,39,L 4,
61,Mon Feb 28 2011,10:00p,,Box Score,@,Sacramento Kings,L,,99,105,21,40,L 5,
62,Wed Mar 2 2011,10:30p,,Box Score,,Houston Rockets,W,,106,103,22,40,W 1,
63,Sat Mar 5 2011,10:30p,,Box Score,,Denver Nuggets,W,,100,94,23,40,W 2,
64,Mon Mar 7 2011,7:00p,,Box Score,@,Charlotte Bobcats,W,,92,87,24,40,W 3,
65,Wed Mar 9 2011,7:30p,,Box Score,@,Boston Celtics,W,,108,103,25,40,W 4,
66,Fri Mar 11 2011,7:00p,,Box Score,@,New Jersey Nets,L,OT,98,102,25,41,L 1,
67,Sat Mar 12 2011,7:00p,,Box Score,@,Washington Wizards,W,,122,101,26,41,W 1,
68,Mon Mar 14 2011,8:00p,,Box Score,@,Memphis Grizzlies,L,,82,105,26,42,L 1,
69,Wed Mar 16 2011,10:30p,,Box Score,,Philadelphia 76ers,L,,94,104,26,43,L 2,
70,Sat Mar 19 2011,3:30p,,Box Score,,Cleveland Cavaliers,W,,100,92,27,43,W 1,
71,Sun Mar 20 2011,3:30p,,Box Score,,Phoenix Suns,L,,99,108,27,44,L 1,
72,Wed Mar 23 2011,10:30p,,Box Score,,Washington Wizards,W,2OT,127,119,28,44,W 1,
73,Fri Mar 25 2011,10:30p,,Box Score,@,Los Angeles Lakers,L,,104,112,28,45,L 1,
74,Sat Mar 26 2011,10:30p,,Box Score,,Toronto Raptors,W,,94,90,29,45,W 1,
75,Wed Mar 30 2011,10:30p,,Box Score,,Dallas Mavericks,L,,100,106,29,46,L 1,
76,Fri Apr 1 2011,10:00p,,Box Score,@,Phoenix Suns,L,,98,111,29,47,L 2,
77,Sat Apr 2 2011,10:30p,,Box Score,,Oklahoma City Thunder,W,,98,92,30,47,W 1,
78,Tue Apr 5 2011,8:00p,,Box Score,@,Memphis Grizzlies,W,,82,81,31,47,W 2,
79,Wed Apr 6 2011,8:00p,,Box Score,@,Oklahoma City Thunder,L,,108,112,31,48,L 1,
80,Fri Apr 8 2011,8:30p,,Box Score,@,Dallas Mavericks,L,,96,107,31,49,L 2,
81,Sat Apr 9 2011,8:30p,,Box Score,@,Houston Rockets,L,,78,99,31,50,L 3,
82,Wed Apr 13 2011,10:30p,,Box Score,,Memphis Grizzlies,W,,110,103,32,50,W 1,
1,Tue Oct 27 2009,10:30p,,Box Score,@,Los Angeles Lakers,L,,92,99,0,1,L 1,
2,Wed Oct 28 2009,10:30p,,Box Score,,Phoenix Suns,L,,107,109,0,2,L 2,
3,Fri Oct 30 2009,9:00p,,Box Score,@,Utah Jazz,L,,98,111,0,3,L 3,
4,Sat Oct 31 2009,10:30p,,Box Score,,Dallas Mavericks,L,,84,93,0,4,L 4,
5,Mon Nov 2 2009,10:30p,,Box Score,,Minnesota Timberwolves,W,,93,90,1,4,W 1,
6,Fri Nov 6 2009,10:30p,,Box Score,@,Golden State Warriors,W,,118,90,2,4,W 2,
7,Sat Nov 7 2009,10:30p,,Box Score,,Memphis Grizzlies,W,,113,110,3,4,W 3,
8,Mon Nov 9 2009,10:30p,,Box Score,,New Orleans Hornets,L,,84,112,3,5,L 1,
9,Wed Nov 11 2009,10:30p,,Box Score,,Oklahoma City Thunder,L,,79,83,3,6,L 2,
10,Fri Nov 13 2009,10:30p,,Box Score,,Toronto Raptors,L,,89,104,3,7,L 3,
11,Sun Nov 15 2009,7:00p,,Box Score,@,Oklahoma City Thunder,W,,101,93,4,7,W 1,
12,Tue Nov 17 2009,8:00p,,Box Score,@,New Orleans Hornets,L,,102,110,4,8,L 1,
13,Wed Nov 18 2009,8:00p,,Box Score,@,Memphis Grizzlies,L,,91,106,4,9,L 2,
14,Fri Nov 20 2009,10:30p,,Box Score,,Denver Nuggets,W,,106,99,5,9,W 1,
15,Mon Nov 23 2009,10:30p,,Box Score,,Minnesota Timberwolves,W,,91,87,6,9,W 2,
16,Wed Nov 25 2009,7:00p,,Box Score,@,Indiana Pacers,L,,73,86,6,10,L 1,
17,Fri Nov 27 2009,8:00p,,Box Score,@,Detroit Pistons,W,,104,96,7,10,W 1,
18,Sun Nov 29 2009,3:30p,,Box Score,,Memphis Grizzlies,W,,98,88,8,10,W 2,
19,Wed Dec 2 2009,10:30p,,Box Score,,Houston Rockets,L,,85,102,8,11,L 1,
20,Sat Dec 5 2009,10:30p,,Box Score,,Indiana Pacers,W,,88,72,9,11,W 1,
21,Tue Dec 8 2009,10:30p,,Box Score,,Orlando Magic,L,,86,97,9,12,L 1,
22,Sun Dec 13 2009,9:30p,,Box Score,,San Antonio Spurs,L,,90,115,9,13,L 2,
23,Mon Dec 14 2009,10:30p,,Box Score,,Washington Wizards,W,,97,95,10,13,W 1,
24,Wed Dec 16 2009,8:00p,,Box Score,@,Minnesota Timberwolves,W,,120,95,11,13,W 2,
25,Fri Dec 18 2009,8:00p,,Box Score,@,New York Knicks,L,,91,95,11,14,L 1,
26,Sat Dec 19 2009,7:30p,,Box Score,@,Philadelphia 76ers,W,OT,112,107,12,14,W 1,
27,Mon Dec 21 2009,8:30p,,Box Score,@,San Antonio Spurs,L,,87,103,12,15,L 1,
28,Tue Dec 22 2009,8:30p,,Box Score,@,Houston Rockets,L,,99,108,12,16,L 2,
29,Fri Dec 25 2009,8:00p,,Box Score,@,Phoenix Suns,L,,93,124,12,17,L 3,
30,Sun Dec 27 2009,9:30p,,Box Score,,Boston Celtics,W,,92,90,13,17,W 1,
31,Wed Dec 30 2009,10:00p,,Box Score,@,Portland Trail Blazers,L,,99,103,13,18,L 1,
32,Thu Dec 31 2009,9:30p,,Box Score,,Philadelphia 76ers,W,,104,88,14,18,W 1,
33,Mon Jan 4 2010,10:30p,,Box Score,,Portland Trail Blazers,W,,105,95,15,18,W 2,
