G,variable,value
67.0,TS%,0.56
66.0,TS%,0.387
65.0,TS%,0.505
64.0,TS%,0.418
63.0,TS%,0.555
62.0,TS%,0.5589999999999999
61.0,TS%,0.503
60.0,TS%,0.503
59.0,TS%,0.574
58.0,TS%,0.526
57.0,TS%,0.476
56.0,TS%,0.44
55.0,TS%,0.473
54.0,TS%,0.526
53.0,TS%,0.542
52.0,TS%,0.461
51.0,TS%,0.523
50.0,TS%,0.579
49.0,TS%,0.55
48.0,TS%,0.469
47.0,TS%,0.475
46.0,TS%,0.474
45.0,TS%,0.498
44.0,TS%,0.57
43.0,TS%,0.468
42.0,TS%,0.452
41.0,TS%,0.501
40.0,TS%,0.441
39.0,TS%,0.429
38.0,TS%,0.507
37.0,TS%,0.527
36.0,TS%,0.546
35.0,TS%,0.466
34.0,TS%,0.53
33.0,TS%,0.454
32.0,TS%,0.45
31.0,TS%,0.4970000000000001
30.0,TS%,0.5479999999999999
29.0,TS%,0.44
28.0,TS%,0.521
27.0,TS%,0.584
26.0,TS%,0.525
25.0,TS%,0.57
24.0,TS%,0.498
23.0,TS%,0.5379999999999999
22.0,TS%,0.68
21.0,TS%,0.583
20.0,TS%,0.608
19.0,TS%,0.469
18.0,TS%,0.589
17.0,TS%,0.491
16.0,TS%,0.5379999999999999
15.0,TS%,0.5489999999999999
14.0,TS%,0.562
13.0,TS%,0.509
12.0,TS%,0.394
11.0,TS%,0.468
10.0,TS%,0.537
9.0,TS%,0.472
8.0,TS%,0.655
7.0,TS%,0.589
6.0,TS%,0.4270000000000001
5.0,TS%,0.51
4.0,TS%,0.565
3.0,TS%,0.486
2.0,TS%,0.528
1.0,TS%,0.552
81.0,TS%,0.502
80.0,TS%,0.6709999999999999
79.0,TS%,0.557
78.0,TS%,0.526
77.0,TS%,0.62
76.0,TS%,0.461
75.0,TS%,0.607
74.0,TS%,0.574
73.0,TS%,0.529
72.0,TS%,0.64
71.0,TS%,0.526
70.0,TS%,0.54
69.0,TS%,0.614
68.0,TS%,0.529
67.0,TS%,0.541
66.0,TS%,0.624
65.0,TS%,0.598
64.0,TS%,0.613
63.0,TS%,0.481
62.0,TS%,0.46
61.0,TS%,0.616
60.0,TS%,0.477
59.0,TS%,0.605
58.0,TS%,0.5379999999999999
57.0,TS%,0.58
56.0,TS%,0.469
55.0,TS%,0.634
54.0,TS%,0.545
53.0,TS%,0.523
52.0,TS%,0.4370000000000001
51.0,TS%,0.514
50.0,TS%,0.498
49.0,TS%,0.5920000000000001
48.0,TS%,0.574
47.0,TS%,0.632
46.0,TS%,0.5379999999999999
45.0,TS%,0.605
44.0,TS%,0.501
43.0,TS%,0.545
42.0,TS%,0.487
41.0,TS%,0.48
40.0,TS%,0.468
39.0,TS%,0.479
38.0,TS%,0.481
37.0,TS%,0.563
36.0,TS%,0.599
35.0,TS%,0.504
34.0,TS%,0.616
33.0,TS%,0.493
32.0,TS%,0.485
31.0,TS%,0.532
30.0,TS%,0.509
29.0,TS%,0.436
28.0,TS%,0.49
27.0,TS%,0.562
26.0,TS%,0.457
25.0,TS%,0.6970000000000001
24.0,TS%,0.498
23.0,TS%,0.521
22.0,TS%,0.481
21.0,TS%,0.517
20.0,TS%,0.573
19.0,TS%,0.511
18.0,TS%,0.581
17.0,TS%,0.4920000000000001
16.0,TS%,0.5870000000000001
15.0,TS%,0.485
14.0,TS%,0.512
13.0,TS%,0.596
12.0,TS%,0.5920000000000001
11.0,TS%,0.523
10.0,TS%,0.634
9.0,TS%,0.564
8.0,TS%,0.578
7.0,TS%,0.574
6.0,TS%,0.552
5.0,TS%,0.5579999999999999
4.0,TS%,0.521
3.0,TS%,0.496
2.0,TS%,0.529
1.0,TS%,0.613
66.0,TS%,0.474
65.0,TS%,0.481
64.0,TS%,0.528
63.0,TS%,0.623
62.0,TS%,0.679
61.0,TS%,0.537
60.0,TS%,0.518
59.0,TS%,0.447
58.0,TS%,0.465
57.0,TS%,0.701
56.0,TS%,0.674
55.0,TS%,0.523
54.0,TS%,0.506
53.0,TS%,0.485
