G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Tm,Opp,W,L
22,241.6891891891892,40.45945945945946,86.7090909090909,0.4784727272727272,14.324324324324325,23.305555555555557,0.5330281690140843,18.488372093023255,25.627906976744185,11.912076923076922,13.979591836734693,29.974358974358974,40.976190476190474,25.25,14.01639344262295,50.54794520547945,15.2,23.4390243902439,105.85365853658537,0.5607692307692308,0.5512162162162161,0.37059459459459454,0.27005405405405414,10.423486486486485,39.951351351351356,64.75405405405405,53.85675675675675,43.4081081081081,8.437837837837838,9.654054054054056,44.15135135135135,104.03783783783784,108.57027027027029,104.24166666666667,,105.60810810810811,101.74324324324324,13.5,8.5
23,242.36486486486487,39.54054054054054,89.26229508196721,0.458672131147541,14.432432432432432,24.271428571428572,0.516942857142857,19.404761904761905,25.69047619047619,18.688779661016948,15.775862068965518,30.256410256410255,41.02439024390244,23.666666666666668,14.950819672131148,51.80281690140845,15.725,22.575,103.65853658536585,0.5656153846153845,0.5423513513513515,0.3669189189189189,0.28070270270270276,10.828864864864864,41.70540540540541,64.65945945945947,54.44864864864864,42.067567567567565,8.55405405405405,10.705405405405404,44.240540540540536,103.92432432432433,108.22972972972973,104.3,,104.4054054054054,99.62162162162163,14.175675675675675,8.824324324324325
24,241.01351351351352,40.0945945945946,90.55,0.4528500000000001,12.567567567567568,21.718309859154928,0.5350985915492957,18.681818181818183,24.886363636363637,17.92901724137931,16.267857142857142,27.095238095238095,37.81818181818182,23.886363636363637,14.968253968253968,50.67605633802817,13.974358974358974,22.1,103.17073170731707,0.5379230769230768,0.5307297297297296,0.35599999999999987,0.26027027027027033,11.707432432432432,39.910810810810815,63.85945945945948,53.07837837837838,42.81621621621622,8.272972972972973,9.381081081081081,43.527027027027025,104.01891891891891,109.65675675675676,106.46666666666665,,103.21621621621621,100.86486486486487,14.797297297297296,9.202702702702704
25,242.02702702702703,39.513513513513516,89.08196721311475,0.45980327868852455,13.22972972972973,21.684931506849313,0.5165000000000001,18.333333333333332,24.30952380952381,19.096864406779662,16.49122807017544,31.128205128205128,42.0,22.755555555555556,14.938461538461539,50.33783783783784,15.85,21.390243902439025,99.41463414634147,0.5268461538461539,0.5222432432432433,0.3498648648648648,0.266,11.066567567567567,39.94054054054053,66.75405405405404,54.58378378378377,41.4027027027027,7.994594594594595,9.613513513513515,44.24594594594594,101.9918918918919,107.15945945945946,102.89166666666667,,102.48648648648648,99.17567567567568,15.378378378378379,9.621621621621621
26,240.33783783783784,39.554054054054056,89.95238095238095,0.45720634920634917,13.35135135135135,22.253521126760564,0.5224507042253519,17.813953488372093,24.302325581395348,17.8806,16.616666666666667,29.071428571428573,40.30232558139535,22.818181818181817,15.308823529411764,49.273972602739725,15.175,23.24390243902439,102.41463414634147,0.537,0.522,0.35272972972972977,0.2596756756756757,10.773729729729729,39.22432432432432,63.86216216216215,52.42162162162161,39.65945945945947,8.92162162162162,10.086486486486484,44.04594594594594,102.88108108108108,108.29189189189192,104.14166666666667,,102.44594594594595,102.64864864864865,15.91891891891892,10.08108108108108
27,242.02702702702703,39.5945945945946,90.59016393442623,0.4500983606557375,12.64864864864865,22.125,0.5042499999999999,21.11904761904762,27.857142857142858,17.309894736842104,15.722222222222221,28.875,41.833333333333336,23.133333333333333,14.546875,48.43835616438356,15.3,22.26829268292683,105.36585365853658,0.5427692307692308,0.5236216216216216,0.3518378378378378,0.2751621621621622,12.379756756756757,41.06756756756757,66.55135135135136,54.148648648648646,41.02702702702702,8.13783783783784,9.294594594594596,43.445945945945944,103.57297297297298,108.6162162162162,106.92916666666667,,103.63513513513513,101.79729729729729,16.486486486486488,10.513513513513514
28,242.36486486486487,39.37837837837838,90.20338983050847,0.4472203389830507,13.378378378378379,23.8,0.49608695652173906,20.704545454545453,28.204545454545453,18.21536206896552,15.912280701754385,29.476190476190474,39.906976744186046,22.046511627906977,15.138461538461538,51.111111111111114,15.825,23.4,102.53658536585365,0.5313076923076923,0.5182972972972972,0.3527297297297298,0.2902162162162162,11.256324324324327,40.297297297297305,65.71621621621621,52.140540540540556,40.28918918918918,7.940540540540541,10.26486486486486,44.34324324324324,102.00000000000001,106.18918918918916,106.79583333333333,,103.89189189189189,102.75675675675676,17.06756756756757,10.932432432432432
29,241.01351351351352,39.24324324324324,90.26666666666667,0.45401666666666657,13.932432432432432,23.514285714285716,0.5379428571428573,19.377777777777776,25.844444444444445,17.495315789473683,16.303571428571427,28.166666666666668,40.02272727272727,23.2,15.079365079365079,50.013888888888886,14.447368421052632,23.097560975609756,103.60975609756098,0.5680000000000001,0.5174324324324324,0.3364864864864865,0.26978378378378387,10.673513513513512,40.32972972972973,66.71621621621622,54.61891891891891,39.53243243243244,8.559459459459461,9.762162162162165,43.26216216216216,104.14864864864865,103.54324324324323,104.01666666666665,,103.27027027027027,101.89189189189189,17.635135135135137,11.364864864864865
30,240.67567567567568,39.567567567567565,86.87719298245614,0.4669649122807019,13.864864864864865,23.175675675675677,0.5003783783783783,19.6046511627907,25.651162790697676,15.904163636363638,13.61111111111111,29.071428571428573,38.906976744186046,24.42222222222222,14.84375,49.2972972972973,15.585365853658537,22.829268292682926,103.97560975609755,0.5736923076923077,0.538891891891892,0.34789189189189185,0.27240540540540537,10.853,39.043243243243246,64.87567567567568,54.364864864864856,40.23513513513513,9.035135135135139,8.97027027027027,44.55675675675676,105.22432432432431,104.79729729729732,108.94166666666668,,104.10810810810811,101.8108108108108,18.18918918918919,11.81081081081081
31,241.01351351351352,39.351351351351354,90.04918032786885,0.45081967213114765,12.432432432432432,21.507042253521128,0.5151176470588238,18.046511627906977,24.348837209302324,17.9121724137931,16.224137931034484,30.05128205128205,41.54761904761905,23.27906976744186,15.63076923076923,50.23943661971831,15.31578947368421,23.0,100.07317073170732,0.553,0.5125675675675676,0.33175675675675687,0.27237837837837847,12.762540540540538,40.29999999999999,64.29729729729729,52.17297297297298,40.464864864864865,8.816216216216215,9.391891891891895,44.25675675675676,104.14054054054056,102.87837837837837,104.57916666666667,,101.25675675675676,99.25675675675676,18.77027027027027,12.22972972972973
