,date,reading,warning
193,2019-04-13 11:01:00,87, Moderate
194,2019-04-13 12:01:00,87, Moderate
195,2019-04-13 13:01:00,77, Moderate
196,2019-04-13 14:00:00,77, Moderate
197,2019-04-13 15:01:00,69, Moderate
198,2019-04-13 16:01:00,69, Moderate
199,2019-04-13 17:01:00,66, Moderate
200,2019-04-13 18:01:00,66, Moderate
201,2019-04-13 19:00:00,61, Moderate
202,2019-04-13 20:01:00,57, Moderate
203,2019-04-13 21:00:00,57, Moderate
204,2019-04-13 22:01:00,56, Moderate
205,2019-04-13 23:00:00,71, Moderate
206,2019-04-14 00:01:00,65, Moderate
207,2019-04-14 01:00:00,50, Good
208,2019-04-14 02:01:00,39, Good
209,2019-04-14 03:01:00,37, Good
210,2019-04-14 04:00:00,37, Good
211,2019-04-14 05:01:00,41, Good
212,2019-04-14 06:01:00,41, Good
213,2019-04-14 07:01:00,37, Good
214,2019-04-14 08:00:00,45, Good
215,2019-04-14 09:00:00,56, Moderate
216,2019-04-14 10:00:00,73, Moderate
217,2019-04-14 11:01:00,69, Moderate
218,2019-04-14 12:01:00,68, Moderate
219,2019-04-14 13:01:00,64, Moderate
220,2019-04-14 14:00:00,60, Moderate
221,2019-04-14 15:01:00,59, Moderate
222,2019-04-14 16:01:00,57, Moderate
223,2019-04-14 17:01:00,64, Moderate
224,2019-04-14 18:01:00,61, Moderate
225,2019-04-14 19:01:00,64, Moderate
226,2019-04-14 20:01:00,62, Moderate
227,2019-04-14 21:01:00,54, Moderate
228,2019-04-14 22:00:00,64, Moderate
229,2019-04-14 23:01:00,65, Moderate
230,2019-04-15 00:01:00,65, Moderate
231,2019-04-15 01:00:00,66, Moderate
232,2019-04-15 02:00:00,66, Moderate
233,2019-04-15 03:01:00,69, Moderate
234,2019-04-15 04:01:00,69, Moderate
235,2019-04-15 05:01:00,69, Moderate
236,2019-04-15 06:01:00,63, Moderate
237,2019-04-15 07:01:00,62, Moderate
238,2019-04-15 08:01:00,62, Moderate
239,2019-04-15 09:01:00,63, Moderate
240,2019-04-15 10:00:00,63, Moderate
241,2019-04-15 11:01:00,64, Moderate
242,2019-04-15 12:01:00,64, Moderate
243,2019-04-15 13:01:00,58, Moderate
244,2019-04-15 14:00:00,57, Moderate
245,2019-04-15 15:01:00,55, Moderate
246,2019-04-15 16:01:00,68, Moderate
247,2019-04-15 17:01:00,59, Moderate
248,2019-04-15 18:01:00,52, Moderate
249,2019-04-15 19:01:00,45, Good
250,2019-04-15 20:01:00,49, Good
251,2019-04-15 21:01:00,50, Good
252,2019-04-15 22:01:00,43, Good
253,2019-04-15 23:01:00,43, Good
254,2019-04-16 00:01:00,48, Good
255,2019-04-16 01:01:00,59, Moderate
256,2019-04-16 02:01:00,54, Moderate
257,2019-04-16 03:01:00,47, Good
258,2019-04-16 04:01:00,42, Good
259,2019-04-16 05:01:00,58, Moderate
260,2019-04-16 06:01:00,52, Moderate
261,2019-04-16 07:01:00,52, Moderate
262,2019-04-16 08:01:00,52, Moderate
263,2019-04-16 09:01:00,53, Moderate
264,2019-04-16 10:01:00,57, Moderate
265,2019-04-16 11:01:00,58, Moderate
266,2019-04-16 12:01:00,53, Moderate
267,2019-04-16 13:01:00,51, Moderate
268,2019-04-16 14:01:00,48, Good
269,2019-04-16 15:01:00,49, Good
270,2019-04-16 16:01:00,45, Good
271,2019-04-16 17:01:00,44, Good
272,2019-04-16 18:01:00,38, Good
273,2019-04-16 19:01:00,60, Moderate
274,2019-04-16 20:01:00,64, Moderate
275,2019-04-16 21:01:00,57, Moderate
276,2019-04-16 22:00:00,54, Moderate
277,2019-04-16 23:00:00,47, Good
278,2019-04-17 00:01:00,51, Moderate
279,2019-04-17 01:01:00,50, Good
280,2019-04-17 02:01:00,46, Good
281,2019-04-17 03:01:00,38, Good
282,2019-04-17 04:01:00,29, Good
283,2019-04-17 05:01:00,33, Good
284,2019-04-17 06:01:00,42, Good
285,2019-04-17 07:01:00,50, Good
286,2019-04-17 08:01:00,48, Good
287,2019-04-17 09:01:00,52, Moderate
288,2019-04-17 10:01:00,58, Moderate
289,2019-04-17 11:01:00,55, Moderate
290,2019-04-17 12:01:00,50, Good
291,2019-04-17 13:01:00,53, Moderate
292,2019-04-17 14:00:00,50, Good
293,2019-04-17 15:01:00,44, Good
294,2019-04-17 16:01:00,51, Moderate
295,2019-04-17 17:01:00,44, Good
296,2019-04-17 18:01:00,41, Good
297,2019-04-17 19:01:00,39, Good
298,2019-04-17 20:01:00,38, Good
299,2019-04-17 21:01:00,38, Good
300,2019-04-17 22:00:00,33, Good
301,2019-04-17 23:01:00,33, Good
302,2019-04-18 00:00:00,29, Good
303,2019-04-18 01:01:00,31, Good
304,2019-04-18 02:00:00,28, Good
305,2019-04-18 03:01:00,22, Good
306,2019-04-18 04:01:00,19, Good
307,2019-04-18 05:01:00,20, Good
308,2019-04-18 06:01:00,18, Good
309,2019-04-18 07:01:00,32, Good
310,2019-04-18 08:01:00,49, Good
311,2019-04-18 09:01:00,54, Moderate
312,2019-04-18 10:00:00,62, Moderate
313,2019-04-18 11:01:00,63, Moderate
314,2019-04-18 12:00:00,54, Moderate
315,2019-04-18 13:01:00,53, Moderate
316,2019-04-18 14:00:00,44, Good
317,2019-04-18 15:01:00,43, Good
318,2019-04-18 16:01:00,34, Good
319,2019-04-18 17:01:00,29, Good
320,2019-04-18 18:01:00,31, Good
321,2019-04-18 19:01:00,69, Moderate
322,2019-04-18 20:01:00,57, Moderate
323,2019-04-18 21:00:00,84, Moderate
324,2019-04-18 22:00:00,88, Moderate
325,2019-04-18 23:00:00,83, Moderate
326,2019-04-19 00:01:00,71, Moderate
327,2019-04-19 01:01:00,66, Moderate
328,2019-04-19 02:01:00,62, Moderate
329,2019-04-19 03:01:00,58, Moderate
330,2019-04-19 04:01:00,54, Moderate
331,2019-04-19 05:01:00,51, Moderate
332,2019-04-19 06:01:00,49, Good
333,2019-04-19 07:01:00,56, Moderate
334,2019-04-19 08:01:00,55, Moderate
335,2019-04-19 09:01:00,54, Moderate
336,2019-04-19 10:01:00,51, Moderate
337,2019-04-19 11:01:00,42, Good
338,2019-04-19 12:00:00,31, Good
339,2019-04-19 13:01:00,24, Good
340,2019-04-19 14:01:00,24, Good
341,2019-04-19 15:01:00,23, Good
342,2019-04-19 16:01:00,20, Good
343,2019-04-19 17:01:00,18, Good
344,2019-04-19 18:01:00,21, Good
345,2019-04-19 19:01:00,40, Good
346,2019-04-19 20:01:00,56, Moderate
347,2019-04-19 21:00:00,82, Moderate
348,2019-04-19 22:00:00,79, Moderate
349,2019-04-19 23:01:00,81, Moderate
350,2019-04-20 00:00:00,80, Moderate
351,2019-04-20 01:01:00,98, Moderate
352,2019-04-20 02:01:00,82, Moderate
353,2019-04-20 03:01:00,75, Moderate
354,2019-04-20 04:01:00,65, Moderate
355,2019-04-20 05:01:00,60, Moderate
356,2019-04-20 06:01:00,58, Moderate
357,2019-04-20 07:01:00,59, Moderate
358,2019-04-20 08:01:00,59, Moderate
359,2019-04-20 09:01:00,61, Moderate
360,2019-04-20 10:01:00,61, Moderate
