Team,variable,value,Rank,normed_value
WAS,TOV,14.2,21,0.41025641025641013
ATL,TOV,16.2,3,0.9230769230769229
DEN,TOV,13.8,23,0.30769230769230793
OKC,TOV,13.7,25,0.28205128205128194
UTA,TOV,15.1,10,0.641025641025641
POR,TOV,12.8,27,0.05128205128205155
MIN,TOV,15.3,6,0.6923076923076925
LAL,TOV,15.2,8,0.6666666666666665
LAC,TOV,14.6,17,0.5128205128205128
PHO,TOV,14.8,14,0.5641025641025643
SAC,TOV,14.5,19,0.4871794871794872
GSW,TOV,14.9,12,0.5897435897435899
DAL,TOV,12.7,29,0.025641025641025546
HOU,TOV,14.7,16,0.5384615384615383
MEM,TOV,15.2,8,0.6666666666666665
SAS,TOV,12.6,30,0.0
NOP,TOV,16.4,2,0.974358974358974
