Season,Team,Salary,W,L,W/L%,Salary cap
1985-86,Phoenix Suns,,32,50,0.39,4233000 
1985-86,San Antonio Spurs,,35,47,0.42700000000000005,4233000 
1985-86,Portland Trail Blazers,,40,42,0.488,4233000 
1985-86,New York Knicks,,23,59,0.28,4233000 
1985-86,Los Angeles Lakers,,62,20,0.7559999999999999,4233000 
1985-86,Golden State Warriors,,30,52,0.366,4233000 
1985-86,Philadelphia 76ers,,54,28,0.659,4233000 
1985-86,Brooklyn Nets,,39,43,0.47600000000000003,4233000 
1985-86,Houston Rockets,,51,31,0.622,4233000 
1985-86,Chicago Bulls,,30,52,0.366,4233000 
1985-86,Milwaukee Bucks,,57,25,0.695,4233000 
1985-86,Atlanta Hawks,,50,32,0.61,4233000 
1985-86,Cleveland Cavaliers,,29,53,0.354,4233000 
1985-86,Utah Jazz,,42,40,0.512,4233000 
1985-86,Detroit Pistons,,46,36,0.561,4233000 
1985-86,Washington Wizards,,39,43,0.47600000000000003,4233000 
1985-86,Denver Nuggets,,47,35,0.573,4233000 
1985-86,Indiana Pacers,,26,56,0.317,4233000 
1985-86,Oklahoma City Thunder,,31,51,0.37799999999999995,4233000 
1984-85,Washington Wizards,,40,42,0.488,3600000 
1984-85,Chicago Bulls,,38,44,0.46299999999999997,3600000 
1984-85,Denver Nuggets,,52,30,0.634,3600000 
1984-85,Atlanta Hawks,,34,48,0.415,3600000 
1984-85,Houston Rockets,,48,34,0.585,3600000 
1984-85,Boston Celtics,,63,19,0.768,3600000 
1984-85,Utah Jazz,,41,41,0.5,3600000 
1984-85,San Antonio Spurs,,41,41,0.5,3600000 
1984-85,Kansas City Kings,,31,51,0.37799999999999995,3600000 
1984-85,Cleveland Cavaliers,,36,46,0.439,3600000 
1984-85,Philadelphia 76ers,,58,24,0.7070000000000001,3600000 
1984-85,Phoenix Suns,,36,46,0.439,3600000 
1984-85,Indiana Pacers,,22,60,0.268,3600000 
1984-85,Portland Trail Blazers,,42,40,0.512,3600000 
1984-85,Oklahoma City Thunder,,31,51,0.37799999999999995,3600000 
1984-85,Milwaukee Bucks,,59,23,0.72,3600000 
1984-85,Los Angeles Clippers,,31,51,0.37799999999999995,3600000 
1984-85,Brooklyn Nets,,42,40,0.512,3600000 
1984-85,Detroit Pistons,,46,36,0.561,3600000 
1984-85,New York Knicks,,24,58,0.293,3600000 
1984-85,Los Angeles Lakers,,62,20,0.7559999999999999,3600000 
1984-85,Dallas Mavericks,,44,38,0.537,3600000 
1984-85,Golden State Warriors,,22,60,0.268,3600000 
