Name,Team,Number,Year
Andy Duncan,ROC,20,1950
Johnny Ezersky,BLB,20,1950
Normie Glick,MNL,20,1950
Bud Grant,MNL,20,1950
Bill Henry,TRI,20,1950
Freddie Lewis,BLB,20,1950
Mac Otten,TRI,20,1950
Fred Scolari,WSC,20,1950
Odie Spears,CHS,20,1950
Floyd Volker,INO,20,1950
Al Guokas,DNN,21,1950
Mike Todorovich,TRI,21,1950
Ed Bartels,DNN,22,1950
Hook Dillon,WSC,22,1950
Bob Kinney,BOS,22,1950
Slater Martin,MNL,22,1950
Dick Schulz,WSC,22,1950
Leo Katkaveck,WSC,23,1950
Bob Royer,DNN,23,1950
Duane Klueh,DNN,24,1950
Jimmy Darden,DNN,25,1950
Paul Seymour,SYR,25,1950
,,26,1950
Kenny Sailors,DNN,27,1950
Jack Cotton,DNN,28,1950
Jim Browne,DNN,29,1950
Chick Reiser,WSC,29,1950
Jack Toomay,DNN,29,1950
Floyd Volker,DNN,29,1950
Jim Browne,DNN,30,1950
Dillard Crocker,DNN,30,1950
Earl Dodd,DNN,31,1950
,,32,1950
,,33,1950
,,34,1950
Bill Gabor,SYR,35,1950
Les Pugh,BLB,35,1950
,,36,1950
,,37,1950
,,38,1950
,,39,1950
,,40,1950
,,41,1950
,,42,1950
,,43,1950
,,44,1950
,,45,1950
,,46,1950
,,47,1950
,,48,1950
,,49,1950
Ed Macauley,STB,50,1950
Ed Peterson,SYR,50,1950
,,51,1950
,,52,1950
,,53,1950
,,54,1950
Dolph Schayes,SYR,55,1950
,,56,1950
,,57,1950
,,58,1950
,,59,1950
,,60,1950
,,61,1950
,,62,1950
,,63,1950
,,64,1950
George Ratkovicz,SYR,65,1950
,,66,1950
,,67,1950
,,68,1950
,,69,1950
,,70,1950
,,71,1950
,,72,1950
,,73,1950
,,74,1950
,,75,1950
,,76,1950
,,77,1950
,,78,1950
,,79,1950
,,80,1950
,,81,1950
,,82,1950
,,83,1950
,,84,1950
,,85,1950
,,86,1950
,,87,1950
,,88,1950
,,89,1950
,,90,1950
