G,variable,value
62,eFG%,0.42650000000000005
63,3PAr,0.2615
63,AST%,54.95
63,BLK%,8.3
63,DRtg,107.8
63,ORtg,108.85
63,STL%,8.3
63,TOV%,15.7
63,TS%,0.519
63,eFG%,0.455
64,3PAr,0.2705
64,AST%,46.25
64,BLK%,8.05
64,DRtg,110.5
64,ORtg,108.95
64,STL%,8.0
64,TOV%,15.15
64,TS%,0.534
64,eFG%,0.45799999999999996
65,3PAr,0.256
65,AST%,48.8
65,BLK%,9.7
65,DRtg,100.25
65,ORtg,110.3
65,STL%,8.0
65,TOV%,14.9
65,TS%,0.541
65,eFG%,0.4320000000000001
66,3PAr,0.276
66,AST%,50.0
66,BLK%,9.2
66,DRtg,106.15
66,ORtg,109.0
66,STL%,7.1
66,TOV%,16.0
66,TS%,0.541
66,eFG%,0.448
67,3PAr,0.2455
67,AST%,49.5
67,BLK%,8.5
67,DRtg,104.4
67,ORtg,108.1
67,STL%,7.35
67,TOV%,17.85
67,TS%,0.5285
67,eFG%,0.4245
68,3PAr,0.235
68,AST%,53.8
68,BLK%,8.75
68,DRtg,111.4
68,ORtg,108.2
68,STL%,8.55
68,TOV%,14.8
68,TS%,0.5275000000000001
68,eFG%,0.411
69,3PAr,0.2685
69,AST%,50.0
69,BLK%,7.800000000000001
69,DRtg,110.7
69,ORtg,108.9
69,STL%,7.199999999999999
69,TOV%,16.2
69,TS%,0.523
69,eFG%,0.4335
70,3PAr,0.2675
70,AST%,51.6
70,BLK%,8.850000000000001
70,DRtg,106.8
70,ORtg,103.9
70,STL%,7.199999999999999
70,TOV%,17.049999999999997
70,TS%,0.5215000000000001
70,eFG%,0.43250000000000005
71,3PAr,0.2525
71,AST%,50.85
71,BLK%,8.8
71,DRtg,106.4
71,ORtg,105.8
71,STL%,8.2
71,TOV%,15.350000000000001
71,TS%,0.5145
71,eFG%,0.444
72,3PAr,0.2345
72,AST%,50.849999999999994
72,BLK%,8.15
72,DRtg,107.0
72,ORtg,106.65
72,STL%,7.75
72,TOV%,15.3
72,TS%,0.543
72,eFG%,0.4465
73,3PAr,0.3145
73,AST%,53.9
73,BLK%,9.25
73,DRtg,103.6
73,ORtg,106.8
73,STL%,7.25
73,TOV%,16.75
73,TS%,0.5215000000000001
73,eFG%,0.43250000000000005
74,3PAr,0.26
74,AST%,56.8
74,BLK%,7.3
74,DRtg,112.6
74,ORtg,108.30000000000001
74,STL%,7.7
74,TOV%,16.200000000000003
74,TS%,0.546
74,eFG%,0.4445
75,3PAr,0.276
75,AST%,54.85
75,BLK%,8.4
75,DRtg,105.6
75,ORtg,108.05
75,STL%,8.25
75,TOV%,16.45
75,TS%,0.539
75,eFG%,0.4735
76,3PAr,0.2705
76,AST%,48.1
76,BLK%,8.45
76,DRtg,105.2
76,ORtg,107.2
76,STL%,7.85
76,TOV%,17.85
76,TS%,0.535
76,eFG%,0.481
77,3PAr,0.2485
77,AST%,52.849999999999994
77,BLK%,9.3
77,DRtg,107.0
77,ORtg,108.30000000000001
77,STL%,8.95
77,TOV%,17.2
77,TS%,0.5479999999999999
77,eFG%,0.477
78,3PAr,0.3145
78,AST%,52.6
78,BLK%,8.0
78,DRtg,115.1
78,ORtg,107.15
78,STL%,6.65
78,TOV%,14.45
78,TS%,0.534
78,eFG%,0.447
79,3PAr,0.256
79,AST%,51.9
79,BLK%,9.95
79,DRtg,105.4
79,ORtg,110.6
79,STL%,7.3
79,TOV%,16.299999999999997
79,TS%,0.5325
79,eFG%,0.411
80,3PAr,0.28300000000000003
80,AST%,55.400000000000006
80,BLK%,9.8
80,DRtg,105.9
80,ORtg,109.55
80,STL%,8.7
80,TOV%,16.95
80,TS%,0.5575
80,eFG%,0.4845
81,3PAr,0.266
81,AST%,50.7
81,BLK%,9.65
81,DRtg,104.0
81,ORtg,107.4
81,STL%,7.55
81,TOV%,15.649999999999999
81,TS%,0.5325
81,eFG%,0.42800000000000005
82,3PAr,0.281
82,AST%,54.1
82,BLK%,8.0
82,DRtg,104.30000000000001
82,ORtg,109.4
82,STL%,7.7
82,TOV%,17.0
82,TS%,0.529
82,eFG%,0.459
